country_export,country_import,Actual WF (m3)
Canada,"Korea, Democratic People's Republic of",
Canada,El Salvador,970020.5225
Canada,Haiti,
Canada,Jordan,993231.8051
Canada,Jordan,277060.8441
Canada,Kenya,1016164.079
Canada,Kenya,424579.4189
Canada,Mali,277060.8441
Canada,Mali,103073.6204
Canada,Senegal,1108653.467
Canada,Senegal,838971.3288
Canada,Swaziland,326599.553
Canada,Tanzania,92336.98938
China,"Korea, Democratic People's Republic of",4050716.381
China,"Korea, Democratic People's Republic of",7646.046594
China,"Korea, Democratic People's Republic of",2667894.183
China,"Korea, Democratic People's Republic of",3236851.131
China,Guinea-Bissau,5449130.275
Denmark,Burkina Faso,0
Denmark,Eritrea,270773.6176
Denmark,Haiti,0
Denmark,Madagascar,344981.4501
Denmark,Nicaragua,330916.7825
Denmark,Rwanda,416955.146
Denmark,Uganda,533446.6856
Denmark,Uganda,310001.8039
Finland,Djibouti,0
Finland,Rwanda,0
France,Yemen,405569.9149
India,Afghanistan,
Italy,Algeria,70707.75152
Italy,Armenia,6036290.534
Japan,Angola,4912033.698
Japan,"Congo, Democratic Republic of the",
Japan,"Congo, Democratic Republic of the",6733315.055
Japan,Gambia,5019529.225
Japan,Mozambique,
Japan,Nepal,9930539.156
Japan,Sao Tome and Principe,3389692.283
Japan,Tanzania,9010172.692
Netherlands,Burundi,0
Netherlands,Central African Republic,0
Netherlands,Tajikistan,0
Norway,Indonesia,
Norway,Mozambique,
"Korea, Republic of","Korea, Democratic People's Republic of",45390698.51
Spain,Algeria,0
Spain,Algeria,
Spain,Cape Verde,1442773.59
United States of America,Afghanistan,56682761.64
United States of America,Afghanistan,150946.1007
United States of America,Angola,1611135.404
United States of America,Angola,5744314.454
United States of America,Angola,2067218.853
United States of America,Bangladesh,394774.6066
United States of America,Bangladesh,7453096.686
United States of America,Bangladesh,415574.0927
United States of America,Bangladesh,298356.107
United States of America,Bangladesh,79355866.29
United States of America,Bangladesh,66822895.81
United States of America,Benin,695944.6568
United States of America,Bolivia,493683.9233
United States of America,Bolivia,484256.7931
United States of America,Burkina Faso,63915.29546
United States of America,Burundi,7292179.506
United States of America,Cambodia,3100822.077
United States of America,Cape Verde,4394050.655
United States of America,Chad,332462.5167
United States of America,Chad,355541.0275
United States of America,Côte d'Ivoire,4444041.599
United States of America,Côte d'Ivoire,734728.6025
United States of America,Côte d'Ivoire,220561.4096
United States of America,Côte d'Ivoire,20878339.71
United States of America,"Korea, Democratic People's Republic of",3196711.003
United States of America,"Korea, Democratic People's Republic of",84746.65625
United States of America,Ecuador,50981142.67
United States of America,El Salvador,15809607.17
United States of America,El Salvador,50994872.06
