,country_export,country_import,Actual WF (m3)
0,Algeria,Mali,8519292.929
1,Algeria,Mozambique,11112121.213000001
2,Algeria,Niger,8592265.516435
3,Australia,Bangladesh,116833067.9
4,Australia,"Korea, Democratic People's Republic of",13326479.6437
5,Australia,Sri Lanka,1044235.643
6,Austria,Angola,3943755.596
7,Belgium,Cape Verde,73620.38061
8,Belgium,Niger,1548.05548
9,Belgium,Occupied Palestinian Territory,0.0
10,Canada,Afghanistan,8827470.458899999
11,Canada,Algeria,3795156.4532000003
12,Canada,Angola,1497563.822
13,Canada,Bangladesh,24986710.597999997
14,Canada,Bolivia,8196157.482000001
15,Canada,Burkina Faso,611021.3802
16,Canada,Burundi,2274511.199
17,Canada,Chad,3762729.66015
18,Canada,China,58275500.55
19,Canada,"Congo, Democratic Republic of the",7518370.18571
20,Canada,Côte d'Ivoire,4127913.7975000003
21,Canada,Egypt,4016918.853
22,Canada,El Salvador,1081144.1184999999
23,Canada,Eritrea,8738989.677
24,Canada,Ethiopia,87047813.818
25,Canada,Ghana,456945.7082
26,Canada,Guinea,1289213.9153
27,Canada,Haiti,9593808.7027
28,Canada,Jordan,1270292.6491999999
29,Canada,Kenya,6650263.0516
30,Canada,"Korea, Democratic People's Republic of",4945034.995
31,Canada,Lesotho,530602.5516
32,Canada,Liberia,2352298.692
33,Canada,Malawi,3819586.2164
34,Canada,Mali,7569853.12093
35,Canada,Mauritania,1443475.431
36,Canada,Mozambique,6615085.6803
37,Canada,Peru,6381807.2505
38,Canada,Rwanda,1657518.6929
39,Canada,Senegal,3437205.3485
40,Canada,Sierra Leone,1022369.7765
41,Canada,Somalia,6132291.441
42,Canada,Sudan,11130414.994380001
43,Canada,Swaziland,895255.447
44,Canada,Tanzania,6611867.88581
45,Canada,Uganda,5573274.6416
46,Canada,Yemen,12396019.393399999
47,Canada,Zambia,2266390.6127
48,China,Guinea-Bissau,5449130.275
49,China,"Korea, Democratic People's Republic of",500253834.121758
50,China,Lao People's Democratic Republic,1632559.43
51,China,Liberia,35964259.82
52,China,Mauritania,1338607.62
53,"Congo, Democratic Republic of the",Niger,323385.52650000004
54,Cuba,"Korea, Democratic People's Republic of",6169195.873
55,Denmark,Bangladesh,547998.1918
56,Denmark,Benin,184811.4911
57,Denmark,Bhutan,119130.0417
58,Denmark,Bolivia,359766.3694
59,Denmark,Burkina Faso,223303.2638
60,Denmark,Cambodia,273999.0959
61,Denmark,Cameroon,0.0
62,Denmark,Cape Verde,0.0
63,Denmark,Central African Republic,181424.86995000002
64,Denmark,Chad,0.0
65,Denmark,Djibouti,426809.8001
66,Denmark,Eritrea,270773.6176
67,Denmark,Ethiopia,0.0
68,Denmark,Gambia,595475.3701
69,Denmark,Ghana,0.0
70,Denmark,Guatemala,99245.895
