,WFP_Name,VWC_Name,,,,,,,,,,,,,,,,,,,,
1,CANNED FISH,,,,,,,,,,,,,,,,,,,,,
2,VEGETABLE OIL,"Soya-bean oil crude, whether or not degummed","Soya-bean oil and its fractions, refined but not chemically modified",,,,,,,,,,,,,,,,,,,
3,WHEAT,"Wheat (Durum wheat, Wheat nes and meslin)",,,,,,,,,,,,,,,,,,,,
4,PEAS,"Peas dried, shelled, whether or not skinned or split",,,,,,,,,,,,,,,,,,,,
5,MAIZE,Maize (corn),,,,,,,,,,,,,,,,,,,,
6,MAIZE MEAL,Maize (corn) groats and meal,,,,,,,,,,,,,,,,,,,,
7,RICE,Rice in the husk (paddy or rough),"Rice, husked (brown)","Rice, semi-milled or wholly milled, whether or not polished or glazed","Rice, broken",,,,,,,,,,,,,,,,,
8,WHEAT FLOUR,Wheat or meslin flour,,,,,,,,,,,,,,,,,,,,
9,PEA WHEAT BLENDED,"Peas dried, shelled, whether or not skinned or split","Wheat (Durum wheat, Wheat nes and meslin)",,,,,,,,,,,,,,,,,,,
10,HIGH ENERGY BISCUITS,,,,,,,,,,,,,,,,,,,,,
11,SUGAR,"Raw sugar, cane","Refined sugar,in solid form,containg added flavourg or colourg matter","Refined sugar, in solid form, nes",,,,,,,,,,,,,,,,,,
12,HARD BISCUITS,,,,,,,,,,,,,,,,,,,,,
13,CEREALS AND GRAINS,Cereals unmilled nes,Cereal flour nes,Cereal groats and meal nes,Cereal pellets nes,"Cereals, rolled or flaked grains nes","Cereals, hulled, pearled, sliced or kibbled nes","Germ of cereals, whole, rolled, flaked or ground",,,,,,,,,,,,,,
14,PRE-PACKAGED FOOD PARCELS,,,,,,,,,,,,,,,,,,,,,
15,CORN-SOYA BLEND,Maize (corn),Soya beans,,,,,,,,,,,,,,,,,,,
16,HARD RED WINTER WHEAT,"Wheat (Durum wheat, Wheat nes and meslin)",,,,,,,,,,,,,,,,,,,,
17,COMMON WHEAT,"Wheat (Durum wheat, Wheat nes and meslin)",,,,,,,,,,,,,,,,,,,,
18,SOYA OIL,"Soya-bean oil crude, whether or not degummed","Soya-bean oil and its fractions, refined but not chemically modified",,,,,,,,,,,,,,,,,,,
19,BEANS,"Beans, shelled or unshelled, fresh or chilled","Beans, frozen","Beans,small red (Adzuki) dried,shelled,whether or not skinned or split","Beans dried, shelled, whether or not skinned or split, nes","Broad beans&horse beans dried,shelled,whether or not skinned or split",,,,,,,,,,,,,,,,
20,SORGHUM,Grain sorghum,,,,,,,,,,,,,,,,,,,,
21,PLAIN DRIED SKIM MILK,Milk powder not exceeding 1.5% fat,,,,,,,,,,,,,,,,,,,,
22,PINTO BEANS,"Kidney beans&white pea beans drid shelld,whether o not skinnd o split",,,,,,,,,,,,,,,,,,,,
23,LENTILS,"Lentils dried, shelled, whether or not skinned or split",,,,,,,,,,,,,,,,,,,,
24,BULGUR WHEAT,"Wheat (Durum wheat, Wheat nes and meslin)",,,,,,,,,,,,,,,,,,,,
25,DRIED FRUITS,"Grapefruit, fresh or dried","Citrus fruits, fresh or dried, nes",Mixtures of edible nuts or dried fruits of this chapter,"Fruits, dried nes","Chestnuts, fresh or dried, whether or not shelled or peeled",Almonds in shell fresh or dried,"Almonds,fresh or dried,shelled or peeled","Walnuts in shell, fresh or dried","Walnuts, fresh or dried, shelled or peeled","Pistachios, fresh or dried, whether or not shelled or peeled",Hazelnuts or filberts in shell fresh or dried,"Hazelnuts or filberts, fresh or dried, shelled or peeled","Nuts edible, fresh or dried, whether or not shelled or peeled, nes",,,,,,,,
26,PASTA,Dry pasta,,,,,,,,,,,,,,,,,,,,
27,DAIRY PRODUCTS,Milk not concentrated and unsweetened not exceeding 1% fat,Milk not concentrated & unsweetened exceeding 1% not exceeding 6% fat,Milk and cream not concentrated and unsweetened exceeding 6% fat,Milk powder not exceeding 1.5% fat,Milk and cream powder unsweetened exceeding 1.5% fat,Milk and cream powder sweetened exceeding 1.5% fat,"Milk and cream unsweetened, nes",Milk and cream nes sweetened,"Yogurt concentratd o not,sweetend o not,flavourd o contg fruit o cocoa","Buttermilk,curdled milk & cream,kephir & ferm or acid milk & cream nes",Whey whether or not concentrated or sweetened,Products consisting of natural milk constituents sweetened or not nes,Butter,"Cheese, fresh (including whey cheese) unfermented, and curd","Cheese, grated or powdered, of all kinds","Cheese processed, not grated or powdered","Cheese, blue-veined",Cheese nes,,,
28,WHEAT-SOYA BLEND,"Wheat (Durum wheat, Wheat nes and meslin)",Soya beans,,,,,,,,,,,,,,,,,,,
29,SOYA-FORTIFIED MAIZE MEAL,Soya beans,Maize (corn) groats and meal,,,,,,,,,,,,,,,,,,,
30,SOYA-FORTIFIED BULGUR WHEAT,Soya beans,"Wheat (Durum wheat, Wheat nes and meslin)",,,,,,,,,,,,,,,,,,,
31,HARD SPRING RED WHEAT,"Wheat (Durum wheat, Wheat nes and meslin)",,,,,,,,,,,,,,,,,,,,
32,MISCELLANEOUS,,,,,,,,,,,,,,,,,,,,,
33,SOYA FLOUR,Soya bean flour and meals,,,,,,,,,,,,,,,,,,,,
34,SOFT WHITE WHEAT,"Wheat (Durum wheat, Wheat nes and meslin)",,,,,,,,,,,,,,,,,,,,
35,TEXTURED SOY PROTEINS,Soya curd (tofu),,,,,,,,,,,,,,,,,,,,
36,SOYA-FORTIFIED SORGHUM GRITS,Soya beans,Grain sorghum,,,,,,,,,,,,,,,,,,,
37,CANNED MEAT,"Bovine meat and meat offal nes,excluding livers, prepared or preserved",,,,,,,,,,,,,,,,,,,,
38,MILK,Milk not concentrated and unsweetened not exceeding 1% fat,Milk not concentrated & unsweetened exceeding 1% not exceeding 6% fat,Milk and cream not concentrated and unsweetened exceeding 6% fat,"Milk and cream unsweetened, nes",Milk and cream nes sweetened,,,,,,,,,,,,,,,,
39,WHEAT-SOYA MILK,"Wheat (Durum wheat, Wheat nes and meslin)",soybean ingredient into the soymilk,,,,,,,,,,,,,,,,,,,
40,DRIED FRUITS DATES,"Dates, fresh or dried",,,,,,,,,,,,,,,,,,,,
41,DRIED WHOLE MILK,Milk and cream powder unsweetened exceeding 1.5% fat,Milk and cream powder sweetened exceeding 1.5% fat,,,,,,,,,,,,,,,,,,,
42,CONCENTRATED TOMATE PASTE,Tomato paste,,,,,,,,,,,,,,,,,,,,
43,MILLET,Millet,,,,,,,,,,,,,,,,,,,,
44,ENRICHED DRIED SKIM MILK,Milk powder not exceeding 1.5% fat,,,,,,,,,,,,,,,,,,,,
45,MANIOC,"Manioc (cassava), fresh or dried, whether or not sliced or pelleted",,,,,,,,,,,,,,,,,,,,
46,SOYA BEANS,Soya beans,,,,,,,,,,,,,,,,,,,,
47,BISCUITS,,,,,,,,,,,,,,,,,,,,,
48,PULSES,"Lentils dried, shelled, whether or not skinned or split",,,,,,,,,,,,,,,,,,,,
49,CHEESE,"Cheese, fresh (including whey cheese) unfermented, and curd","Cheese, grated or powdered, of all kinds","Cheese processed, not grated or powdered","Cheese, blue-veined",Cheese nes,,,,,,,,,,,,,,,,
50,FISH,,,,,,,,,,,,,,,,,,,,,
51,OILS AND FATS,"Soya-bean oil crude, whether or not degummed","Soya-bean oil and its fractions, refined but not chemically modified","Ground-nut oil, crude",Ground-nut oil and its fractions refined but not chemically modified,Coconut (copra) oil crude,Coconut (copra) oil&its fractions refined but not chemically modified,"Palm oil, crude",Palm oil and its fractions refined but not chemically modified,"Palm kernel or babassu oil, crude","Palm kernel/babassu oil their fract,refind but not chemically modifid","Olive oil, virgin",Olive oil and its fractions refined but not chemically modified,"Castor oil&its fractions,whether/not refind,but not chemically modifid","Sunflower-seed or safflower oil, crude",Sunflower-sed/safflower oil&their fractions refind but nt chem modifid,"Rape, colza or mustard oil crude","Rape,colza o mustard oil&their fract,refind but not chemically modifid","Sesame oil&its fractions whether/not refind,but not chemically modifid","Cotton-seed oil crude, whether or not gossypol has been removed","Linseed oil, crude","Linseed oil and its fractions, refined but not chemically modified"
52,LACTO SOYA BLEND,Soya beans,,,,,,,,,,,,,,,,,,,,
53,BARLEY,Barley,,,,,,,,,,,,,,,,,,,,
54,BUCKWHEAT,Buckwheat,,,,,,,,,,,,,,,,,,,,
55,DEHYDRATED POTATOES,"Potatoes, fresh or chilled nes",,,,,,,,,,,,,,,,,,,,
