year,country_export,country_import,Product,Tonnage,Exporter Footprint (per unit),Importers Footprint (per unit),Actual WF (m3),Water Saved (m3)
2005,Canada,"Korea, Democratic People's Republic of",CANNED FISH,822.382,,,,
2005,Canada,El Salvador,VEGETABLE OIL,350.076,2770.8855292768285,,970020.5225471151,
2005,Canada,Haiti,CANNED FISH,149.99,,,,
2005,Canada,Jordan,WHEAT,740.55,1341.2082980589053,3255.627761185491,993231.8051275222,1417723.333418393
2005,Canada,Jordan,VEGETABLE OIL,99.99,2770.8855292768285,,277060.84407239006,
2005,Canada,Kenya,VEGETABLE OIL,366.729,2770.8855292768285,,1016164.079266162,
2005,Canada,Kenya,PEAS,354.25,1198.5304697317051,,424579.4189024565,
2005,Canada,Mali,VEGETABLE OIL,99.99,2770.8855292768285,4772.542940114962,277060.84407239006,200145.72450970497
2005,Canada,Mali,PEAS,86.0,1198.5304697317051,,103073.62039692664,
2005,Canada,Senegal,VEGETABLE OIL,400.108,2770.8855292768285,,1108653.4673478934,
2005,Canada,Senegal,PEAS,700.0,1198.5304697317051,,838971.3288121936,
2005,Canada,Swaziland,PEAS,272.5,1198.5304697317051,,326599.55300188967,
2005,Canada,Tanzania,VEGETABLE OIL,33.324,2770.8855292768285,,92336.98937762102,
2005,China,"Korea, Democratic People's Republic of",MAIZE,4683.0,864.9832118773745,1707.6519820195265,4050716.3812217447,3946217.8505756976
2005,China,"Korea, Democratic People's Republic of",MAIZE MEAL,10.0,764.6046593810879,1509.4843970666345,7646.046593810879,7448.797376855466
2005,China,"Korea, Democratic People's Republic of",RICE,2448.0,1089.826055002166,2283.060491073877,2667894.1826453023,2921037.8995035486
2005,China,"Korea, Democratic People's Republic of",WHEAT FLOUR,2487.0,1301.5082956775225,2204.7192012784803,3236851.1313499985,2246285.522229582
2005,China,Guinea-Bissau,RICE,5000.0,1089.826055002166,4524.384959437395,5449130.27501083,17172794.522176147
2005,Denmark,Burkina Faso,VEGETABLE OIL,18.396,0.0,,0.0,
2005,Denmark,Eritrea,PEAS,478.0,566.472003430096,,270773.6176395859,
2005,Denmark,Haiti,VEGETABLE OIL,239.264,0.0,,0.0,
2005,Denmark,Madagascar,PEAS,609.0,566.472003430096,,344981.4500889285,
2005,Denmark,Nicaragua,PEA WHEAT BLENDED,600.0,551.5279708611165,,330916.7825166699,
2005,Denmark,Rwanda,PEA WHEAT BLENDED,756.0,551.5279708611165,,416955.1459710041,
2005,Denmark,Uganda,PEAS,941.7,566.472003430096,,533446.6856301215,
2005,Denmark,Uganda,PEAS,547.25,566.472003430096,,310001.8038771201,
2005,Finland,Djibouti,VEGETABLE OIL,61.308,0.0,,0.0,
2005,Finland,Rwanda,VEGETABLE OIL,137.944,0.0,,0.0,
2005,France,Yemen,WHEAT FLOUR,688.0,589.4911553386127,4209.328916609706,405569.9148729655,2490448.379754512
2005,India,Afghanistan,HIGH ENERGY BISCUITS,955.0,,,,
2005,Italy,Algeria,WHEAT FLOUR,58.04,1218.2589855209728,3395.134989143969,70707.75151963726,126345.88325027868
2005,Italy,Armenia,WHEAT FLOUR,4954.85,1218.2589855209728,1071.959071118649,6036290.534408593,-724894.1308763541
2005,Japan,Angola,RICE,4798.0,1023.7669233122895,7516.5468837890385,4912033.698052364,31152358.25036744
2005,Japan,"Congo, Democratic Republic of the",CANNED FISH,180.969,,,,
2005,Japan,"Congo, Democratic Republic of the",RICE,6577.0,1023.7669233122895,7457.803221404149,6733315.054624928,42316656.73255016
2005,Japan,Gambia,RICE,4903.0,1023.7669233122895,3841.2748447082317,5019529.225000155,13814241.338604307
2005,Japan,Mozambique,CANNED FISH,199.84,,,,
2005,Japan,Nepal,RICE,9700.0,1023.7669233122895,2717.948489428407,9930539.156129207,16433561.191326339
2005,Japan,Sao Tome and Principe,RICE,3311.0,1023.7669233122895,,3389692.2830869905,
2005,Japan,Tanzania,RICE,8801.0,1023.7669233122895,,9010172.69207146,
2005,Netherlands,Burundi,SUGAR,408.5,0.0,1157.5561034222176,0.0,472861.6682479759
2005,Netherlands,Central African Republic,SUGAR,150.15,0.0,,0.0,
2005,Netherlands,Tajikistan,VEGETABLE OIL,206.448,0.0,357389.88819912553,0.0,73782427.63893308
2005,Norway,Indonesia,HARD BISCUITS,67.8,,,,
2005,Norway,Mozambique,CANNED FISH,32.509,,,,
2005,"Korea, Republic of","Korea, Democratic People's Republic of",MAIZE,35075.265,1294.09424292165,1707.6519820195265,45390698.50545125,14505647.291658878
2005,Spain,Algeria,CEREALS AND GRAINS,300.0,0.0,,0.0,
2005,Spain,Algeria,PRE-PACKAGED FOOD PARCELS,8.244,,,,
2005,Spain,Cape Verde,RICE,680.0,2121.725868121786,,1442773.5903228144,
2005,United States of America,Afghanistan,WHEAT,28900.0,1961.3412331771283,2735.933782625488,56682761.63881901,22385724.6790576
2005,United States of America,Afghanistan,VEGETABLE OIL,47.219,3196.723790366448,,150946.1006573133,
2005,United States of America,Angola,CORN-SOYA BLEND,1439.524,1119.2139932688615,,1611135.4044463644,
2005,United States of America,Angola,VEGETABLE OIL,1796.938,3196.723790366448,,5744314.454413505,
2005,United States of America,Angola,PEAS,1870.748,1105.0226183501086,,2067218.853233229,
2005,United States of America,Bangladesh,RICE,226.9,1739.8616421225033,2105.4504207660975,394774.606597596,82952.09387423152
2005,United States of America,Bangladesh,HARD RED WINTER WHEAT,3800.0,1961.3412331771283,1360.7953514361636,7453096.686073087,-2282074.350615666
2005,United States of America,Bangladesh,VEGETABLE OIL,130.0,3196.723790366448,,415574.09274763823,
2005,United States of America,Bangladesh,PEAS,270.0,1105.0226183501086,4403.949159051354,298356.1069545293,890710.1659893363
2005,United States of America,Bangladesh,COMMON WHEAT,40460.0,1961.3412331771283,1360.7953514361636,79355866.29434662,-24298086.37523943
2005,United States of America,Bangladesh,HARD RED WINTER WHEAT,34070.0,1961.3412331771283,1360.7953514361636,66822895.814344764,-20460598.190914664
2005,United States of America,Benin,RICE,400.0,1739.8616421225033,2404.895401346096,695944.6568490013,266013.5036894371
2005,United States of America,Bolivia,WHEAT FLOUR,248.75,1984.658988039939,,493683.9232749348,
2005,United States of America,Bolivia,WHEAT FLOUR,244.0,1984.658988039939,,484256.7930817451,
2005,United States of America,Burkina Faso,VEGETABLE OIL,19.994,3196.723790366448,,63915.295464586765,
2005,United States of America,Burundi,MAIZE,12450.0,585.7172293863118,,7292179.505859583,
2005,United States of America,Cambodia,SOYA OIL,970.0,3196.723790366448,,3100822.076655455,
2005,United States of America,Cape Verde,MAIZE,7502.0,585.7172293863118,,4394050.654856111,
2005,United States of America,Chad,CORN-SOYA BLEND,297.05,1119.2139932688615,3848.6791975520327,332462.5167005153,810787.6389323161
2005,United States of America,Chad,PEAS,321.75,1105.0226183501086,,355541.02745414746,
2005,United States of America,Côte d'Ivoire,RICE,2554.25,1739.8616421225033,4320.7316697329225,4444041.599391405,6592187.268023913
2005,United States of America,Côte d'Ivoire,VEGETABLE OIL,229.838,3196.723790366448,,734728.6025302437,
2005,United States of America,Côte d'Ivoire,PEAS,199.599,1105.0226183501086,,220561.4096000633,
2005,United States of America,Côte d'Ivoire,RICE,12000.0,1739.8616421225033,4320.7316697329225,20878339.70547004,30970440.331325028
2005,United States of America,"Korea, Democratic People's Republic of",VEGETABLE OIL,999.996,3196.723790366448,5034.571569700078,3196711.0034712865,1837840.4279425123
2005,United States of America,"Korea, Democratic People's Republic of",BEANS,129.5,654.4143339759094,3178.6830233120622,84746.65624988027,326892.7952690318
2005,United States of America,Ecuador,WHEAT,25993.0,1961.3412331771283,6362.303518483539,50981142.6739731,114394212.68196952
2005,United States of America,El Salvador,SORGHUM,14000.0,1129.2576549703522,,15809607.16958493,
2005,United States of America,El Salvador,WHEAT,26000.0,1961.3412331771283,,50994872.06260534,
2005,United States of America,El Salvador,PLAIN DRIED SKIM MILK,900.0,2388.071681656164,0.0,2149264.5134905474,-2149264.5134905474
2005,United States of America,El Salvador,PLAIN DRIED SKIM MILK,331.575,2388.071681656164,0.0,791824.8678451425,-791824.8678451425
