Donor,Recipient,Commodity,VWT,Water Saved
Canada,"Korea, Democratic People's Republic of",CANNED FISH,,
Canada,El Salvador,VEGETABLE OIL,970020.5225471152,
Canada,Haiti,CANNED FISH,,
Canada,Jordan,WHEAT,993231.8051275222,1417723.333418393
Canada,Jordan,VEGETABLE OIL,277060.84407239006,
Canada,Kenya,VEGETABLE OIL,2820958.20167639,0
Canada,Kenya,PEAS,3829304.8507927977,0
Canada,Mali,VEGETABLE OIL,5641897.007154075,4075644.7122169035
Canada,Mali,PEAS,1927956.113610421,0
Canada,Senegal,VEGETABLE OIL,1893797.736496129,0
Canada,Senegal,PEAS,1543407.6123970032,0
Canada,Swaziland,PEAS,664285.5128487976,0
Canada,Tanzania,VEGETABLE OIL,3691348.7641328275,0
China,"Korea, Democratic People's Republic of",MAIZE,152313163.8130631,148383858.39679125
China,"Korea, Democratic People's Republic of",MAIZE MEAL,85635.72185068186,83426.53062078122
China,"Korea, Democratic People's Republic of",RICE,51890977.78287314,56814664.43911845
China,"Korea, Democratic People's Republic of",WHEAT FLOUR,281603445.4108585,195425034.01216245
China,Guinea-Bissau,RICE,5449130.27501083,17172794.522176147
Denmark,Burkina Faso,VEGETABLE OIL,0.0,0
Denmark,Eritrea,PEAS,270773.6176395859,
Denmark,Haiti,VEGETABLE OIL,0.0,
Denmark,Madagascar,PEAS,741200.2928881091,0
Denmark,Nicaragua,PEA WHEAT BLENDED,1080443.2949169273,0
Denmark,Rwanda,PEA WHEAT BLENDED,893475.3127950086,0
Denmark,Uganda,PEAS,1498573.3614741475,0
Finland,Djibouti,VEGETABLE OIL,0.0,
Finland,Rwanda,VEGETABLE OIL,0.0,0
France,Yemen,WHEAT FLOUR,405569.9148729655,2490448.379754512
India,Afghanistan,HIGH ENERGY BISCUITS,0,0
Italy,Algeria,WHEAT FLOUR,70707.75151963726,126345.88325027868
Italy,Armenia,WHEAT FLOUR,8527616.75895014,-1024075.8465300477
Japan,Angola,RICE,4912033.698052364,31152358.25036744
Japan,"Congo, Democratic Republic of the",CANNED FISH,,
Japan,"Congo, Democratic Republic of the",RICE,10524301.448778022,66141751.595585756
Japan,Gambia,RICE,5019529.225000155,13814241.338604309
Japan,Mozambique,CANNED FISH,0,0
Japan,Nepal,RICE,18410400.5819249,30466467.10346614
Japan,Sao Tome and Principe,RICE,3389692.2830869905,
Japan,Tanzania,RICE,16895225.535422713,0
Netherlands,Burundi,SUGAR,0.0,472861.6682479759
Netherlands,Central African Republic,SUGAR,0.0,
Netherlands,Tajikistan,VEGETABLE OIL,0.0,73782427.63893308
Norway,Indonesia,HARD BISCUITS,,
Norway,Mozambique,CANNED FISH,0,0
"Korea, Republic of","Korea, Democratic People's Republic of",MAIZE,120018139.66617256,38354571.74974897
Spain,Algeria,CEREALS AND GRAINS,0.0,0
Spain,Algeria,PRE-PACKAGED FOOD PARCELS,,
Spain,Cape Verde,RICE,1442773.5903228144,
United States of America,Afghanistan,WHEAT,221278517.92704365,87389531.42876397
United States of America,Afghanistan,VEGETABLE OIL,22510248.439119384,0
United States of America,Angola,CORN-SOYA BLEND,3398629.8346680766,0
United States of America,Angola,VEGETABLE OIL,20830894.349983435,0
United States of America,Angola,PEAS,10413319.87687216,0
United States of America,Bangladesh,RICE,4744428.711903854,996924.0404832172
United States of America,Bangladesh,HARD RED WINTER WHEAT,74275992.50041786,-22742672.54153033
United States of America,Bangladesh,VEGETABLE OIL,2045903.225834527,0
United States of America,Bangladesh,PEAS,861917.6423130847,2573162.701746972
United States of America,Bangladesh,COMMON WHEAT,116668421.91430831,-35722871.229479544
United States of America,Benin,RICE,8525322.046400268,3258665.4201956047
United States of America,Bolivia,WHEAT FLOUR,31303867.445634913,0
United States of America,Burkina Faso,VEGETABLE OIL,4558508.944719813,0
United States of America,Burundi,MAIZE,12633878.46622223,0
United States of America,Cambodia,SOYA OIL,8023776.713819785,0
United States of America,Cape Verde,MAIZE,10561067.363064587,0
United States of America,Chad,CORN-SOYA BLEND,2460172.258954116,5999705.702164946
United States of America,Chad,PEAS,974022.1869447033,0
United States of America,Côte d'Ivoire,RICE,25322381.304861445,37562627.59934894
United States of America,Côte d'Ivoire,VEGETABLE OIL,1054384.9979479366,0
United States of America,Côte d'Ivoire,PEAS,220561.4096000633,
United States of America,"Korea, Democratic People's Republic of",VEGETABLE OIL,3196711.0034712865,1837840.4279425123
United States of America,"Korea, Democratic People's Republic of",BEANS,6477982.050594129,24987483.32886964
United States of America,Ecuador,WHEAT,84323943.63798428,189210571.5321785
United States of America,El Salvador,SORGHUM,15809607.16958493,
