,country_export,country_import,Actual_WF_(m3)
0,Algeria,Mali,8519292.929
1,Algeria,Mozambique,11112121.21
2,Algeria,Niger,8592265.516
3,Australia,Bangladesh,116833067.9
4,Australia,North_Korea,13326479.64
5,Australia,Sri_Lanka,1044235.643
6,Austria,Angola,3943755.596
7,Belgium,Cape_Verde,73620.38061
8,Belgium,Niger,1548.05548
9,Belgium,Palestinian,0
10,Canada,Afghanistan,8827470.459
11,Canada,Algeria,3795156.453
12,Canada,Angola,1497563.822
13,Canada,Bangladesh,24986710.6
14,Canada,Bolivia,8196157.482
15,Canada,Burkina_Faso,611021.3802
16,Canada,Burundi,2274511.199
17,Canada,Chad,3762729.66
18,Canada,China,58275500.55
19,Canada,Congo,7518370.186
20,Canada,Cote_dIvoire,4127913.798
21,Canada,Egypt,4016918.853
22,Canada,El_Salvador,1081144.118
23,Canada,Eritrea,8738989.677
24,Canada,Ethiopia,87047813.82
25,Canada,Ghana,456945.7082
26,Canada,Guinea,1289213.915
27,Canada,Haiti,9593808.703
28,Canada,Jordan,1270292.649
29,Canada,Kenya,6650263.052
30,Canada,North_Korea,4945034.995
31,Canada,Lesotho,530602.5516
32,Canada,Liberia,2352298.692
33,Canada,Malawi,3819586.216
34,Canada,Mali,7569853.121
35,Canada,Mauritania,1443475.431
36,Canada,Mozambique,6615085.68
37,Canada,Peru,6381807.251
38,Canada,Rwanda,1657518.693
39,Canada,Senegal,3437205.349
40,Canada,Sierra_Leone,1022369.777
41,Canada,Somalia,6132291.441
42,Canada,Sudan,11130414.99
43,Canada,Swaziland,895255.447
44,Canada,Tanzania,6611867.886
45,Canada,Uganda,5573274.642
46,Canada,Yemen,12396019.39
47,Canada,Zambia,2266390.613
48,China,Guinea_Bissau,5449130.275
49,China,North_Korea,500253834.1
50,China,Lao,1632559.43
51,China,Liberia,35964259.82
52,China,Mauritania,1338607.62
53,Congo,Niger,323385.5265
54,Cuba,North_Korea,6169195.873
55,Denmark,Bangladesh,547998.1918
56,Denmark,Benin,184811.4911
57,Denmark,Bhutan,119130.0417
