STATE,STATEFIPS,COUNTYFIPS,FIPS,TO-WTotl,FAF
AL,1,1,01001,37.25,019
AL,1,3,01003,34.63,012
AL,1,5,01005,7.42,019
AL,1,7,01007,4.0,011
AL,1,9,01009,32.26,011
AL,1,11,01011,3.14,019
AL,1,13,01013,3.91,019
AL,1,15,01015,24.8,019
AL,1,17,01017,12.26,019
AL,1,19,01019,6.24,019
AL,1,21,01021,5.11,011
AL,1,23,01023,51.71,019
AL,1,25,01025,22.82,019
AL,1,27,01027,1.67,019
AL,1,29,01029,2.08,019
AL,1,31,01031,12.76,019
AL,1,33,01033,1346.03,019
AL,1,35,01035,2.49,019
AL,1,37,01037,0.65,019
AL,1,39,01039,28.92,019
AL,1,41,01041,2.31,019
AL,1,43,01043,41.49,011
AL,1,45,01045,8.52,019
AL,1,47,01047,53.8,019
AL,1,49,01049,18.08,019
AL,1,51,01051,6.14,019
AL,1,53,01053,42.74,019
AL,1,55,01055,270.51,019
AL,1,57,01057,2.85,019
AL,1,59,01059,4.81,019
AL,1,61,01061,3.69,019
AL,1,63,01063,360.93,019
AL,1,65,01065,6.01,019
AL,1,67,01067,4.66,019
AL,1,69,01069,129.93,019
AL,1,71,01071,1563.33,019
AL,1,73,01073,102.64,011
AL,1,75,01075,2.18,019
AL,1,77,01077,15.04,019
AL,1,79,01079,59.87,019
AL,1,81,01081,16.91,019
AL,1,83,01083,2120.52,019
AL,1,85,01085,2.43,019
AL,1,87,01087,4.78,019
AL,1,89,01089,53.78,019
AL,1,91,01091,23.4,019
AL,1,93,01093,5.57,019
AL,1,95,01095,19.28,019
AL,1,97,01097,1294.77,012
AL,1,99,01099,80.51,019
AL,1,101,01101,47.0,019
AL,1,103,01103,161.63,019
AL,1,105,01105,3.63,019
AL,1,107,01107,3.37,019
AL,1,109,01109,7.13,019
AL,1,111,01111,2.24,019
AL,1,113,01113,31.72,019
AL,1,115,01115,8.12,011
AL,1,117,01117,779.74,011
AL,1,119,01119,2.29,019
AL,1,121,01121,93.32,019
AL,1,123,01123,11.3,019
AL,1,125,01125,34.84,019
AL,1,127,01127,692.81,011
AL,1,129,01129,123.89,019
AL,1,131,01131,24.25,019
AL,1,133,01133,0.81,019
AK,2,13,02013,3.26,020
AK,2,16,02016,4.89,020
AK,2,20,02020,41.85,020
AK,2,50,02050,0.24,020
AK,2,60,02060,0.18,020
AK,2,68,02068,13.76,020
AK,2,70,02070,0.37,020
AK,2,90,02090,43.31,020
AK,2,100,02100,0.57,020
AK,2,110,02110,4.25,020
AK,2,122,02122,8.67,020
AK,2,130,02130,6.67,020
AK,2,150,02150,6.31,020
AK,2,164,02164,0.47,020
AK,2,170,02170,4.38,020
AK,2,180,02180,0.94,020
AK,2,185,02185,140.33,020
AK,2,188,02188,7.13,020
AK,2,201,02201,2.58,
AK,2,220,02220,1.3,020
AK,2,232,02232,1.28,
AK,2,240,02240,2.51,020
AK,2,261,02261,4.48,020
AK,2,270,02270,0.43,020
AK,2,280,02280,1.45,
AK,2,282,02282,0.27,020
AK,2,290,02290,3.17,020
AZ,4,1,04001,47.63,049
AZ,4,3,04003,233.27,049
AZ,4,5,04005,52.68,049
AZ,4,7,04007,14.78,049
AZ,4,9,04009,172.21,049
AZ,4,11,04011,33.34,049
AZ,4,12,04012,879.01,049
AZ,4,13,04013,2151.37,041
AZ,4,15,04015,153.66,049
AZ,4,17,04017,69.96,049
AZ,4,19,04019,300.38,042
AZ,4,21,04021,1052.44,041
AZ,4,23,04023,22.66,049
AZ,4,25,04025,82.4,049
AZ,4,27,04027,1463.36,049
AR,5,1,05001,1138.43,050
AR,5,3,05003,151.94,050
AR,5,5,05005,5.75,050
AR,5,7,05007,373.85,050
AR,5,9,05009,3.92,050
AR,5,11,05011,2.75,050
AR,5,13,05013,0.55,050
AR,5,15,05015,5.4,050
AR,5,17,05017,222.07,050
AR,5,19,05019,3.57,050
AR,5,21,05021,269.93,050
AR,5,23,05023,7.19,050
AR,5,25,05025,1.33,050
AR,5,27,05027,4.3,050
AR,5,29,05029,16.09,050
AR,5,31,05031,391.89,050
AR,5,33,05033,18.78,050
AR,5,35,05035,132.75,050
AR,5,37,05037,438.01,050
AR,5,39,05039,1.08,050
AR,5,41,05041,414.51,050
AR,5,43,05043,64.01,050
AR,5,45,05045,12.83,050
AR,5,47,05047,2.74,050
AR,5,49,05049,1.56,050
AR,5,51,05051,17.28,050
AR,5,53,05053,1.8,050
AR,5,55,05055,165.09,050
AR,5,57,05057,5.85,050
AR,5,59,05059,414.87,050
AR,5,61,05061,6.76,050
AR,5,63,05063,78.93,050
AR,5,65,05065,2.05,050
AR,5,67,05067,386.17,050
AR,5,69,05069,569.27,050
AR,5,71,05071,5.85,050
AR,5,73,05073,12.27,050
AR,5,75,05075,325.41,050
AR,5,77,05077,241.86,050
AR,5,79,05079,189.52,050
AR,5,81,05081,4.21,050
AR,5,83,05083,4.45,050
AR,5,85,05085,485.31,050
AR,5,87,05087,1.82,050
AR,5,89,05089,2.86,050
AR,5,91,05091,90.35,050
AR,5,93,05093,193.19,050
AR,5,95,05095,255.51,050
AR,5,97,05097,1.11,050
AR,5,99,05099,1.35,050
AR,5,101,05101,0.76,050
AR,5,103,05103,68.07,050
AR,5,105,05105,6.06,050
AR,5,107,05107,468.93,050
AR,5,109,05109,2.13,050
AR,5,111,05111,665.82,050
AR,5,113,05113,2.63,050
AR,5,115,05115,999.03,050
AR,5,117,05117,354.62,050
AR,5,119,05119,107.11,050
AR,5,121,05121,116.03,050
AR,5,123,05123,264.13,050
AR,5,125,05125,13.79,050
AR,5,127,05127,2.33,050
AR,5,129,05129,0.95,050
AR,5,131,05131,30.19,050
AR,5,133,05133,4.57,050
AR,5,135,05135,2.23,050
AR,5,137,05137,0.98,050
AR,5,139,05139,17.83,050
AR,5,141,05141,2.01,050
AR,5,143,05143,27.68,050
AR,5,145,05145,129.05,050
AR,5,147,05147,432.61,050
AR,5,149,05149,4.46,050
