STATE,STATEFIPS,COUNTYFIPS,FIPS,State-County Name,TO-WTotl,FAF
AL,1,1,01001,Alabama-Autauga County,43.66,019
AL,1,3,01003,Alabama-Baldwin County,69.01,012
AL,1,5,01005,Alabama-Barbour County,16.49,019
AL,1,7,01007,Alabama-Bibb County,4.98,011
AL,1,9,01009,Alabama-Blount County,18.95,011
AL,1,11,01011,Alabama-Bullock County,5.44,019
AL,1,13,01013,Alabama-Butler County,4.39,019
AL,1,15,01015,Alabama-Calhoun County,28.95,019
AL,1,17,01017,Alabama-Chambers County,8.4,019
AL,1,19,01019,Alabama-Cherokee County,7.2,019
AL,1,21,01021,Alabama-Chilton County,6.25,011
AL,1,23,01023,Alabama-Choctaw County,49.57,019
AL,1,25,01025,Alabama-Clarke County,4.9,019
AL,1,27,01027,Alabama-Clay County,2.7,019
AL,1,29,01029,Alabama-Cleburne County,2.37,019
AL,1,31,01031,Alabama-Coffee County,12.95,019
AL,1,33,01033,Alabama-Colbert County,1363.16,019
AL,1,35,01035,Alabama-Conecuh County,2.37,019
AL,1,37,01037,Alabama-Coosa County,1.0,019
AL,1,39,01039,Alabama-Covington County,13.54,019
AL,1,41,01041,Alabama-Crenshaw County,3.23,019
AL,1,43,01043,Alabama-Cullman County,32.66,011
AL,1,45,01045,Alabama-Dale County,12.23,019
AL,1,47,01047,Alabama-Dallas County,17.78,019
AL,1,49,01049,Alabama-De Kalb County,16.43,019
AL,1,51,01051,Alabama-Elmore County,14.82,019
AL,1,53,01053,Alabama-Escambia County,42.84,019
AL,1,55,01055,Alabama-Etowah County,173.86,019
AL,1,57,01057,Alabama-Fayette County,3.93,019
AL,1,59,01059,Alabama-Franklin County,7.1,019
AL,1,61,01061,Alabama-Geneva County,7.61,019
AL,1,63,01063,Alabama-Greene County,398.58,019
AL,1,65,01065,Alabama-Hale County,28.39,019
AL,1,67,01067,Alabama-Henry County,5.82,019
AL,1,69,01069,Alabama-Houston County,131.78,019
AL,1,71,01071,Alabama-Jackson County,1498.24,019
AL,1,73,01073,Alabama-Jefferson County,81.01,011
AL,1,75,01075,Alabama-Lamar County,2.25,019
AL,1,77,01077,Alabama-Lauderdale County,17.17,019
AL,1,79,01079,Alabama-Lawrence County,67.43,019
AL,1,81,01081,Alabama-Lee County,21.51,019
AL,1,83,01083,Alabama-Limestone County,2013.88,019
AL,1,85,01085,Alabama-Lowndes County,5.97,019
AL,1,87,01087,Alabama-Macon County,9.94,019
AL,1,89,01089,Alabama-Madison County,70.51,019
AL,1,91,01091,Alabama-Marengo County,26.79,019
AL,1,93,01093,Alabama-Marion County,7.84,019
AL,1,95,01095,Alabama-Marshall County,27.06,019
AL,1,97,01097,Alabama-Mobile County,1130.94,012
AL,1,99,01099,Alabama-Monroe County,60.01,019
AL,1,101,01101,Alabama-Montgomery County,69.73,019
AL,1,103,01103,Alabama-Morgan County,124.8,019
AL,1,105,01105,Alabama-Perry County,12.39,019
AL,1,107,01107,Alabama-Pickens County,5.67,019
AL,1,109,01109,Alabama-Pike County,6.99,019
AL,1,111,01111,Alabama-Randolph County,2.78,019
AL,1,113,01113,Alabama-Russell County,43.72,019
AL,1,115,01115,Alabama-St Clair County,21.01,011
AL,1,117,01117,Alabama-Shelby County,833.25,011
AL,1,119,01119,Alabama-Sumter County,10.27,019
AL,1,121,01121,Alabama-Talladega County,78.28,019
AL,1,123,01123,Alabama-Tallapoosa County,14.64,019
AL,1,125,01125,Alabama-Tuscaloosa County,36.02,019
AL,1,127,01127,Alabama-Walker County,969.46,011
AL,1,129,01129,Alabama-Washington County,99.17,019
AL,1,131,01131,Alabama-Wilcox County,23.65,019
AL,1,133,01133,Alabama-Winston County,1.92,019
AK,2,13,02013,Alaska-Aleutians East Borough County,3.39,020
AK,2,16,02016,Alaska-Aleutians West Census Area County,4.75,020
AK,2,20,02020,Alaska-Municipality of Anchorage County,107.7,020
AK,2,50,02050,Alaska-Bethel Division County,0.45,020
AK,2,60,02060,Alaska-Bristol Bay Borough County,0.17,020
AK,2,68,02068,Alaska-Denali Borough County,16.22,020
AK,2,70,02070,Alaska-Dillingham Division County,0.83,020
AK,2,90,02090,Alaska-Fairbanks North Star Borough County,38.26,020
AK,2,100,02100,Alaska-Haines Borough County,3.54,020
AK,2,110,02110,Alaska-City & Borough of Juneau County,603.66,020
AK,2,122,02122,Alaska-Kenai Peninsula Borough County,27.35,020
AK,2,130,02130,Alaska-Ketchikan Gateway Borough County,14.25,020
AK,2,150,02150,Alaska-Kodiak Island Borough County,9.44,020
AK,2,164,02164,Alaska-Lake and Peninsula Borough County,0.43,020
AK,2,170,02170,Alaska-Matanuska-Susitna Borough County,6.66,020
AK,2,180,02180,Alaska-Nome Division County,0.63,020
AK,2,185,02185,Alaska-North Slope Borough County,175.72,020
AK,2,188,02188,Alaska-Northwest Arctic Borough County,8.04,020
AK,2,201,02201,Alaska-Prince of Wales-Outer Ketchikan-Metlakatla Census Area County,1.98,
AK,2,220,02220,Alaska-City & Borough of Sitka County,9.06,020
AK,2,232,02232,Alaska-Skagway-Hoonah-Angoon Census Area County,0.72,
AK,2,240,02240,Alaska-Southeast fairbanks Division County,0.67,020
AK,2,261,02261,Alaska-Valdez-Cordova Census Area County,13.08,020
AK,2,270,02270,Alaska-Wade Hampton Division County,0.46,020
AK,2,280,02280,Alaska-Wrangell-Petersburg Division County,6.35,
AK,2,282,02282,Alaska-Yakutat Borough County,0.59,020
AK,2,290,02290,Alaska-Yukon-Koyukuk Division County,0.66,020
AZ,4,1,04001,Arizona-Apache County,35.24,049
AZ,4,3,04003,Arizona-Cochise County,254.42,049
AZ,4,5,04005,Arizona-Coconino County,47.99,049
AZ,4,7,04007,Arizona-Gila County,28.03,049
AZ,4,9,04009,Arizona-Graham County,172.92,049
AZ,4,11,04011,Arizona-Greenlee County,31.55,049
AZ,4,12,04012,Arizona-La Paz County,628.49,049
AZ,4,13,04013,Arizona-Maricopa County,1966.99,041
AZ,4,15,04015,Arizona-Mohave County,138.64,049
AZ,4,17,04017,Arizona-Navajo County,67.48,049
AZ,4,19,04019,Arizona-Pima County,306.76,042
AZ,4,21,04021,Arizona-Pinal County,1289.19,041
AZ,4,23,04023,Arizona-Santa Cruz County,19.38,049
AZ,4,25,04025,Arizona-Yavapai County,91.5,049
AZ,4,27,04027,Arizona-Yuma County,1166.12,049
AR,5,1,05001,Arkansas-Arkansas County,966.4,050
AR,5,3,05003,Arkansas-Ashley County,232.27,050
AR,5,5,05005,Arkansas-Baxter County,5.83,050
AR,5,7,05007,Arkansas-Benton County,440.9,050
AR,5,9,05009,Arkansas-Boone County,3.1,050
AR,5,11,05011,Arkansas-Bradley County,1.86,050
AR,5,13,05013,Arkansas-Calhoun County,0.57,050
AR,5,15,05015,Arkansas-Carroll County,11.49,050
AR,5,17,05017,Arkansas-Chicot County,319.92,050
