STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TO-WTotl,FAF
AL,1,Autauga County,1,01001,2010,55.55,019
AL,1,Baldwin County,3,01003,2010,64.36,012
AL,1,Barbour County,5,01005,2010,11.05,019
AL,1,Bibb County,7,01007,2010,7.61,011
AL,1,Blount County,9,01009,2010,57.08,011
AL,1,Bullock County,11,01011,2010,3.19,019
AL,1,Butler County,13,01013,2010,4.52,019
AL,1,Calhoun County,15,01015,2010,29.31,019
AL,1,Chambers County,17,01017,2010,5.4,019
AL,1,Cherokee County,19,01019,2010,5.54,019
AL,1,Chilton County,21,01021,2010,7.32,011
AL,1,Choctaw County,23,01023,2010,42.89,019
AL,1,Clarke County,25,01025,2010,24.31,019
AL,1,Clay County,27,01027,2010,2.51,019
AL,1,Cleburne County,29,01029,2010,1.79,019
AL,1,Coffee County,31,01031,2010,14.66,019
AL,1,Colbert County,33,01033,2010,1344.32,019
AL,1,Conecuh County,35,01035,2010,2.4,019
AL,1,Coosa County,37,01037,2010,0.93,019
AL,1,Covington County,39,01039,2010,10.32,019
AL,1,Crenshaw County,41,01041,2010,3.16,019
AL,1,Cullman County,43,01043,2010,37.88,011
AL,1,Dale County,45,01045,2010,10.25,019
AL,1,Dallas County,47,01047,2010,49.12,019
AL,1,De Kalb County,49,01049,2010,11.94,019
AL,1,Elmore County,51,01051,2010,16.02,019
AL,1,Escambia County,53,01053,2010,45.21,019
AL,1,Etowah County,55,01055,2010,146.3,019
AL,1,Fayette County,57,01057,2010,4.65,019
AL,1,Franklin County,59,01059,2010,6.43,019
AL,1,Geneva County,61,01061,2010,7.45,019
AL,1,Greene County,63,01063,2010,366.36,019
AL,1,Hale County,65,01065,2010,20.25,019
AL,1,Henry County,67,01067,2010,6.49,019
AL,1,Houston County,69,01069,2010,118.04,019
AL,1,Jackson County,71,01071,2010,1067.46,019
AL,1,Jefferson County,73,01073,2010,81.33,011
AL,1,Lamar County,75,01075,2010,2.08,019
AL,1,Lauderdale County,77,01077,2010,17.5,019
AL,1,Lawrence County,79,01079,2010,72.81,019
AL,1,Lee County,81,01081,2010,18.19,019
AL,1,Limestone County,83,01083,2010,2744.24,019
AL,1,Lowndes County,85,01085,2010,4.45,019
AL,1,Macon County,87,01087,2010,7.14,019
