STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TO-Wtotl,FAF
AL,1,Autauga County,1,01001,2015,56.41,019
AL,1,Baldwin County,3,01003,2015,84.7,012
AL,1,Barbour County,5,01005,2015,9.02,019
AL,1,Bibb County,7,01007,2015,5.87,011
AL,1,Blount County,9,01009,2015,60.07,011
AL,1,Bullock County,11,01011,2015,4.39,019
AL,1,Butler County,13,01013,2015,4.06,019
AL,1,Calhoun County,15,01015,2015,30.67,019
AL,1,Chambers County,17,01017,2015,5.13,019
AL,1,Cherokee County,19,01019,2015,7.42,019
AL,1,Chilton County,21,01021,2015,6.1,011
AL,1,Choctaw County,23,01023,2015,48.46,019
AL,1,Clarke County,25,01025,2015,26.47,019
AL,1,Clay County,27,01027,2015,2.6,019
AL,1,Cleburne County,29,01029,2015,1.89,019
AL,1,Coffee County,31,01031,2015,13.54,019
AL,1,Colbert County,33,01033,2015,1005.62,019
AL,1,Conecuh County,35,01035,2015,1.93,019
AL,1,Coosa County,37,01037,2015,0.86,019
AL,1,Covington County,39,01039,2015,10.28,019
AL,1,Crenshaw County,41,01041,2015,3.38,019
AL,1,Cullman County,43,01043,2015,29.12,011
AL,1,Dale County,45,01045,2015,9.14,019
AL,1,Dallas County,47,01047,2015,53.34,019
AL,1,DeKalb County,49,01049,2015,12.62,019
AL,1,Elmore County,51,01051,2015,18.71,019
AL,1,Escambia County,53,01053,2015,42.57,019
AL,1,Etowah County,55,01055,2015,132.81,019
AL,1,Fayette County,57,01057,2015,3.05,019
AL,1,Franklin County,59,01059,2015,8.37,019
AL,1,Geneva County,61,01061,2015,8.87,019
AL,1,Greene County,63,01063,2015,388.86,019
AL,1,Hale County,65,01065,2015,21.09,019
AL,1,Henry County,67,01067,2015,8.03,019
AL,1,Houston County,69,01069,2015,127.23,019
AL,1,Jackson County,71,01071,2015,375.99,019
AL,1,Jefferson County,73,01073,2015,57.98,011
AL,1,Lamar County,75,01075,2015,2.16,019
