STATE,STATEFIPS,Geo_QName,COUNTYFIPS,Geo_FIPS,YEAR,PS-Wtotl,DO-WFrTo,DO-TOTAL ,IN-Wtotl,IR-WFrTo,IC-WFrTo,IG-WFrTo,LI-WFrTo,AQ-WTotl,MI-Wtotl,PT-Wtotl,PO-WTotl,PC-WTotl,TO-WTotl,Unnamed: 20,CFS07DDGEO
AL,1,Autauga County,1,01001,2010,5.09,0.37,3.54,41.03,2.94,2.88,0.06,0.15,0.0,0.13,5.84,0.0,5.84,55.55,,019
AL,1,Baldwin County,3,01003,2010,22.97,1.71,13.66,0.0,38.96,37.37,1.59,0.35,0.16,0.21,0.0,0.0,0.0,64.36,,012
AL,1,Barbour County,5,01005,2010,4.15,0.15,2.05,1.58,2.17,1.98,0.19,0.38,2.43,0.19,0.0,0.0,0.0,11.05,,019
AL,1,Bibb County,7,01007,2010,4.89,0.15,1.84,0.0,0.69,0.63,0.06,0.07,1.45,0.36,0.0,0.0,0.0,7.61,,011
AL,1,Blount County,9,01009,2010,54.61,0.89,3.87,0.0,0.48,0.24,0.24,0.98,0.0,0.12,0.0,0.0,0.0,57.08,,011
AL,1,Bullock County,11,01011,2010,2.3,0.08,1.2,0.0,0.61,0.58,0.03,0.14,0.0,0.06,0.0,0.0,0.0,3.19,,019
AL,1,Butler County,13,01013,2010,2.7,0.28,1.62,0.3,0.34,0.03,0.31,0.4,0.5,0.0,0.0,0.0,0.0,4.52,,019
AL,1,Calhoun County,15,01015,2010,23.3,0.51,9.91,0.97,4.09,3.44,0.65,0.32,0.02,0.1,0.0,0.0,0.0,29.31,,019
AL,1,Chambers County,17,01017,2010,4.31,0.71,2.82,0.0,0.2,0.17,0.03,0.18,0.0,0.0,0.0,0.0,0.0,5.4,,019
AL,1,Cherokee County,19,01019,2010,3.49,0.52,1.67,0.0,1.24,1.18,0.06,0.28,0.0,0.01,0.0,0.0,0.0,5.54,,019
AL,1,Chilton County,21,01021,2010,4.89,0.74,3.48,0.35,1.15,1.12,0.03,0.18,0.0,0.01,0.0,0.0,0.0,7.32,,011
AL,1,Choctaw County,23,01023,2010,1.36,0.62,1.0,40.76,0.03,0.0,0.03,0.09,0.03,0.0,0.0,0.0,0.0,42.89,,019
AL,1,Clarke County,25,01025,2010,3.15,0.38,1.42,20.22,0.07,0.02,0.05,0.08,0.06,0.35,0.0,0.0,0.0,24.31,,019
AL,1,Clay County,27,01027,2010,1.66,0.48,0.97,0.0,0.06,0.04,0.02,0.3,0.01,0.0,0.0,0.0,0.0,2.51,,019
AL,1,Cleburne County,29,01029,2010,0.56,0.77,1.37,0.0,0.16,0.16,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.79,,019
AL,1,Coffee County,31,01031,2010,7.6,0.72,4.29,1.13,3.67,3.51,0.16,0.8,0.74,0.0,0.0,0.0,0.0,14.66,,019
AL,1,Colbert County,33,01033,2010,8.79,0.27,3.54,69.75,2.19,1.78,0.41,0.29,0.0,0.73,1262.3,1262.3,0.0,1344.32,,019
AL,1,Conecuh County,35,01035,2010,1.69,0.32,0.8,0.0,0.09,0.06,0.03,0.16,0.14,0.0,0.0,0.0,0.0,2.4,,019
AL,1,Coosa County,37,01037,2010,0.3,0.43,1.01,0.0,0.03,0.01,0.02,0.05,0.0,0.12,0.0,0.0,0.0,0.93,,019
AL,1,Covington County,39,01039,2010,4.95,0.88,2.45,0.05,1.96,1.84,0.12,0.59,0.1,0.05,1.74,0.0,1.74,10.32,,019
AL,1,Crenshaw County,41,01041,2010,2.05,0.19,0.88,0.0,0.25,0.23,0.02,0.67,0.0,0.0,0.0,0.0,0.0,3.16,,019
AL,1,Cullman County,43,01043,2010,31.05,0.24,6.36,2.26,2.25,2.16,0.09,2.05,0.0,0.03,0.0,0.0,0.0,37.88,,011
AL,1,Dale County,45,01045,2010,6.85,0.69,3.79,0.0,2.16,2.0,0.16,0.42,0.05,0.08,0.0,0.0,0.0,10.25,,019
AL,1,Dallas County,47,01047,2010,5.9,0.64,3.62,32.33,2.42,2.28,0.14,0.3,7.14,0.39,0.0,0.0,0.0,49.12,,019
AL,1,De Kalb County,49,01049,2010,7.11,1.32,4.61,0.77,0.58,0.39,0.19,2.06,0.0,0.1,0.0,0.0,0.0,11.94,,019
AL,1,Elmore County,51,01051,2010,13.35,0.42,5.53,0.0,1.56,1.04,0.52,0.17,0.05,0.47,0.0,0.0,0.0,16.02,,019
AL,1,Escambia County,53,01053,2010,5.68,0.63,3.41,35.13,3.02,2.91,0.11,0.14,0.03,0.58,0.0,0.0,0.0,45.21,,019
AL,1,Etowah County,55,01055,2010,20.37,0.31,8.42,9.21,0.67,0.25,0.42,0.42,0.31,0.35,114.66,114.66,0.0,146.3,,019
AL,1,Fayette County,57,01057,2010,2.03,0.52,1.27,1.1,0.17,0.14,0.03,0.16,0.04,0.63,0.0,0.0,0.0,4.65,,019
AL,1,Franklin County,59,01059,2010,4.57,0.51,2.35,0.0,0.15,0.07,0.08,0.75,0.0,0.45,0.0,0.0,0.0,6.43,,019
AL,1,Geneva County,61,01061,2010,2.0,0.76,1.81,0.0,3.66,3.64,0.02,0.8,0.13,0.1,0.0,0.0,0.0,7.45,,019
AL,1,Greene County,63,01063,2010,1.1,0.35,1.17,0.03,0.12,0.1,0.02,0.21,9.84,0.0,354.71,354.71,0.0,366.36,,019
AL,1,Hale County,65,01065,2010,1.71,0.2,1.08,0.02,0.09,0.03,0.06,0.29,17.83,0.11,0.0,0.0,0.0,20.25,,019
AL,1,Henry County,67,01067,2010,1.81,0.26,1.35,0.54,3.6,3.57,0.03,0.28,0.0,0.0,0.0,0.0,0.0,6.49,,019
AL,1,Houston County,69,01069,2010,16.79,1.37,7.05,0.17,10.07,9.65,0.42,0.34,0.0,0.0,89.3,0.0,89.3,118.04,,019
AL,1,Jackson County,71,01071,2010,11.37,0.82,3.42,8.91,1.14,0.89,0.25,0.71,0.0,0.09,1044.42,1044.42,0.0,1067.46,,019
AL,1,Jefferson County,73,01073,2010,75.86,0.46,56.74,0.5,2.48,0.1,2.38,0.07,0.46,1.5,0.0,0.0,0.0,81.33,,011
AL,1,Lamar County,75,01075,2010,1.51,0.27,0.76,0.11,0.09,0.03,0.06,0.1,0.0,0.0,0.0,0.0,0.0,2.08,,019
AL,1,Lauderdale County,77,01077,2010,12.05,1.19,7.3,0.0,3.78,3.47,0.31,0.46,0.02,0.0,0.0,0.0,0.0,17.5,,019
AL,1,Lawrence County,79,01079,2010,7.69,0.38,3.64,60.11,3.87,3.79,0.08,0.7,0.05,0.01,0.0,0.0,0.0,72.81,,019
AL,1,Lee County,81,01081,2010,15.97,0.77,12.83,0.0,1.07,0.41,0.66,0.1,0.05,0.23,0.0,0.0,0.0,18.19,,019
AL,1,Limestone County,83,01083,2010,10.82,0.68,5.1,0.0,7.6,7.35,0.25,0.37,0.33,0.07,2724.37,2724.37,0.0,2744.24,,019
AL,1,Lowndes County,85,01085,2010,1.13,0.06,0.95,0.0,2.2,2.2,0.0,0.57,0.03,0.46,0.0,0.0,0.0,4.45,,019
AL,1,Macon County,87,01087,2010,4.08,0.2,1.49,0.0,2.15,2.15,0.0,0.11,0.0,0.6,0.0,0.0,0.0,7.14,,019
AL,1,Madison County,89,01089,2010,68.41,0.78,30.01,0.79,8.41,7.5,0.91,0.29,0.0,0.45,0.0,0.0,0.0,79.13,,019
AL,1,Marengo County,91,01091,2010,2.49,0.52,1.29,18.72,0.15,0.01,0.14,0.29,2.64,0.24,0.0,0.0,0.0,25.05,,019
AL,1,Marion County,93,01093,2010,5.53,0.76,2.37,0.0,0.17,0.11,0.06,0.43,0.0,0.09,0.0,0.0,0.0,6.98,,019
AL,1,Marshall County,95,01095,2010,26.64,0.48,7.1,0.08,1.89,1.32,0.57,1.18,0.0,0.18,0.0,0.0,0.0,30.45,,019
AL,1,Mobile County,97,01097,2010,86.01,2.62,30.7,7.73,10.68,9.8,0.88,0.29,0.0,0.11,989.29,989.29,0.0,1096.73,,012
AL,1,Monroe County,99,01099,2010,2.65,0.47,1.84,46.41,0.55,0.49,0.06,0.18,0.06,0.3,0.0,0.0,0.0,50.62,,019
AL,1,Montgomery County,101,01101,2010,33.39,0.34,15.06,0.05,1.49,0.83,0.66,0.59,0.33,1.44,0.0,0.0,0.0,37.63,,019
AL,1,Morgan County,103,01103,2010,33.38,0.28,8.91,81.41,1.05,0.73,0.32,0.67,0.04,0.38,6.43,0.0,6.43,123.64,,019
AL,1,Perry County,105,01105,2010,1.7,0.3,0.77,0.0,0.06,0.04,0.02,0.18,8.59,0.0,0.0,0.0,0.0,10.83,,019
AL,1,Pickens County,107,01107,2010,2.7,0.42,1.94,0.01,1.41,1.36,0.05,0.63,1.0,0.0,0.0,0.0,0.0,6.17,,019
AL,1,Pike County,109,01109,2010,5.03,0.33,2.85,0.0,1.86,1.75,0.11,0.58,0.0,0.0,0.0,0.0,0.0,7.8,,019
AL,1,Randolph County,111,01111,2010,1.52,0.72,1.53,0.0,0.1,0.08,0.02,0.43,0.0,0.09,0.0,0.0,0.0,2.86,,019
AL,1,Russell County,113,01113,2010,8.8,0.23,2.87,28.55,2.42,2.36,0.06,0.1,0.0,0.58,0.0,0.0,0.0,40.68,,019
AL,1,St Clair County,115,01115,2010,9.92,0.59,6.33,4.45,2.1,1.97,0.13,0.36,0.04,0.61,0.0,0.0,0.0,18.07,,011
AL,1,Shelby County,117,01117,2010,15.88,0.41,13.1,0.0,3.23,2.8,0.43,0.1,0.0,2.71,666.24,666.24,0.0,688.57,,011
AL,1,Sumter County,119,01119,2010,1.82,0.09,1.09,2.03,0.22,0.17,0.05,0.3,3.04,1.14,0.0,0.0,0.0,8.64,,019
AL,1,Talladega County,121,01121,2010,17.55,1.24,5.26,24.67,1.69,1.36,0.33,0.23,0.0,0.62,0.0,0.0,0.0,46.0,,019
AL,1,Tallapoosa County,123,01123,2010,10.38,0.44,3.06,0.0,0.36,0.17,0.19,0.1,0.8,0.0,0.0,0.0,0.0,12.08,,019
AL,1,Tuscaloosa County,125,01125,2010,29.91,0.82,13.52,2.87,3.52,2.98,0.54,0.2,0.04,1.87,0.0,0.0,0.0,39.23,,019
AL,1,Walker County,127,01127,2010,35.75,0.44,3.74,0.0,1.01,0.76,0.25,0.28,0.03,0.49,916.97,886.7,30.27,954.97,,011
AL,1,Washington County,129,01129,2010,2.07,0.56,1.34,11.02,0.11,0.09,0.02,0.19,0.03,0.11,75.54,75.54,0.0,89.63,,019
AL,1,Wilcox County,131,01131,2010,2.96,0.25,0.66,18.31,0.07,0.05,0.02,0.18,0.46,0.0,0.0,0.0,0.0,22.23,,019
AL,1,Winston County,133,01133,2010,0.97,0.66,1.88,0.0,0.07,0.01,0.06,0.36,0.0,0.11,0.0,0.0,0.0,2.17,,019
AK,2,Aleutians East Borough,13,02013,2010,1.02,0.06,0.19,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68,,020
AK,2,Aleutians West Census Area,16,02016,2010,2.25,0.01,0.42,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96,,020
AK,2,Municipality of Anchorage,20,02020,2010,38.37,4.02,31.52,0.25,0.53,0.26,0.27,0.01,1.77,0.0,1.29,0.9,0.39,46.24,,020
