Geo_FIPS,2017_ag,2012_ag,2007_ag,2002_ag,1997_ag,avg_ag,FAF
01001,1411,1555,1157,928,254,1061,019
01011,120,1399,,866,,795,019
01047,6359,1975,2942,1935,1117,2865.6,019
01051,2570,3066,2010,863,912,1884.2,019
01063,55,334,286,115,,197.5,019
01065,1119,,92,222,537,492.5,019
01085,6195,3788,3131,3006,1164,3456.8,019
01087,2580,1850,2562,3142,1825,2391.8,019
01091,782,402,10,105,75,274.8,019
01101,114,1707,629,1000,628,815.6,019
01105,2951,338,135,94,,879.5,019
01119,1145,1479,472,136,379,722.2,019
01003,7429,7678,10159,11238,8276,8956,012
01013,550,18,71,5,133,155.4,019
01023,36,8,,,,22,019
01025,9,21,62,63,10,33,019
01035,73,102,130,40,60,81,019
01053,3118,836,1940,977,924,1559,019
01097,3077,2754,3541,2071,2693,2827.2,012
01099,1329,215,807,649,1562,912.4,019
01129,60,35,95,35,47,54.4,019
01009,935,516,568,603,444,613.2,011
01015,1058,922,1729,1586,801,1219.2,019
01019,807,1316,1189,2200,829,1268.2,019
01029,361,300,498,,,386.3333333333333,019
01043,1876,454,780,406,659,835,011
01049,1077,267,977,501,536,671.6,019
01055,622,70,589,171,348,360,019
01071,1397,437,713,447,799,758.6,019
01095,282,166,1237,380,372,487.4,019
01115,842,344,1840,1692,2330,1409.6,011
01077,855,355,1074,698,315,659.4,019
01079,6377,4702,4062,2252,1092,3697,019
01083,10438,13128,7398,8560,4608,8826.4,019
01089,10663,5089,6490,3981,3218,5888.2,019
01103,356,325,364,869,476,478,019
01133,640,,41,16,156,213.25,019
01007,78,55,164,31,,82,011
01017,158,73,338,257,209,207,019
01021,860,484,650,934,561,697.8,011
01027,15,17,38,184,16,54,019
01037,48,,22,55,60,46.25,019
01057,171,,394,,,282.5,019
01073,163,201,243,914,175,339.2,011
01075,305,,93,,1578,658.6666666666666,019
01081,183,894,793,849,862,716.2,019
01107,2384,,591,931,629,1133.75,019
01111,216,74,217,358,283,229.6,019
01117,2016,1110,2172,2568,1273,1827.8,011
01121,4431,4771,3209,1501,810,2944.4,019
01125,382,1118,1202,1369,652,944.6,019
01127,113,24,454,206,,199.25,011
01005,3600,2301,2785,4912,1402,3000,019
01031,4040,3267,4191,5459,1771,3745.6,019
01039,1326,1436,1246,1631,,1409.75,019
01041,26,901,670,,1984,895.25,019
01045,2449,2568,2602,3685,1180,2496.8,019
01061,5544,2735,2953,8797,2046,4415,019
01067,12798,8142,4995,3653,3547,6627,019
01069,9977,9138,13368,9174,9940,10319.4,019
01109,2892,3196,2414,2242,3096,2768,019
01113,3666,3408,2560,2560,2077,2854.2,019
04001,11878,9776,9343,7869,10612,9895.6,049
04005,1267,1946,2192,1942,2924,2054.2,049
04007,1296,838,3230,1228,1410,1600.4,049
04015,20885,20814,17107,21123,15947,19175.2,049
04017,6671,6540,8561,6467,10452,7738.2,049
04025,7529,7602,7907,10304,11329,8934.2,049
04003,86008,65483,67598,64593,67044,70145.2,049
04009,46682,36922,28300,34509,42201,37722.8,049
04011,5136,5398,5291,4454,5629,5181.6,049
04012,97139,93178,100498,91347,116985,99829.4,049
04013,180214,192871,199367,237532,310109,224018.6,041
04019,30008,32404,35684,34545,29790,32486.2,042
04021,232224,223626,215121,216886,236726,224916.6,041
04023,2551,1812,1714,1512,6605,2838.8,049
04027,181395,181403,174245,197424,207573,188408,049
05029,18655,14767,11390,11036,6875,12544.6,050
05045,6957,6790,4261,6419,3420,5569.4,050
05051,87,312,53,89,85,125.2,050
05053,302,144,80,,13,134.75,050
05059,374,79,444,,1111,502,050
05105,6567,4704,5367,6258,5396,5658.4,050
05119,20696,21492,26878,22195,21193,22490.8,050
05125,100,359,775,276,452,392.4,050
05001,314325,314596,310745,278293,311060,305803.8,050
05035,187227,173321,138102,136844,100840,147266.8,050
05037,208598,214710,191622,218535,225425,211778,050
05077,169530,157999,174518,142060,102609,149343.2,050
05085,224254,199627,211362,200235,212106,209516.8,050
05095,159944,199486,163211,156062,129514,161643.4,050
05107,273758,231860,245359,156566,131433,207795.2,050
05117,171318,179147,176263,177245,181010,176996.6,050
05123,184933,209256,144804,148032,104058,158216.6,050
05147,177823,196986,169456,157438,158480,172036.6,050
05005,33,84,,110,62,72.25,050
05023,186,795,184,96,282,308.6,050
05049,1414,23,8,63,191,339.8,050
05065,272,314,243,150,265,248.8,050
05089,365,,27,352,28,193,050
05129,87,,38,106,262,123.25,050
05135,325,135,283,251,905,379.8,050
05137,203,164,223,96,334,204,050
05141,130,256,478,380,446,338,050
05021,208808,235621,227000,206780,180628,211767.4,050
05031,253893,271621,244365,240295,227976,247630,050
05055,164821,165966,164615,129376,118288,148613.2,050
05063,27482,32697,30310,19253,16289,25206.2,050
05067,187874,206529,178101,183583,156986,182614.6,050
05075,147230,130317,130983,129440,114620,130518,050
05093,350206,286923,269564,230281,169017,261198.2,050
05111,256122,310028,262180,289927,280406,279732.6,050
05121,59478,56920,67301,50882,48344,56585,050
05145,41676,39358,43243,41079,51248,43320.8,050
05007,231,635,378,667,634,509,050
05009,320,354,226,169,192,252.2,050
05015,29,105,474,263,208,215.8,050
05087,689,468,618,763,422,592,050
05101,25,57,136,164,137,103.8,050
05143,304,584,808,1175,882,750.6,050
05011,466,,917,716,1263,840.5,050
05019,2347,,416,503,1954,1305,050
05025,56,,,13,27,32,050
05027,287,255,57,55,218,174.4,050
05039,3,,,3,4,3.3333333333333335,050
05099,30,140,21,,119,77.5,050
05139,25,19,53,,,32.333333333333336,050
05003,88911,70755,90804,103914,95726,90022,050
05017,221342,197142,141805,128296,118524,161421.8,050
05041,249369,202069,229730,187651,165061,206776,050
05043,57190,66873,59337,50657,50369,56885.2,050
05069,212845,207481,200247,176136,148743,189090.4,050
05079,135455,135047,99861,113497,99378,116647.6,050
05061,434,513,926,1332,1644,969.8,050
05073,24307,21688,16761,10933,10450,16827.8,050
05081,10253,10014,2727,3309,895,5439.6,050
05091,6715,5512,1601,8639,8353,6164,050
05097,303,336,882,609,216,469.2,050
05109,497,979,566,498,689,645.8,050
05133,242,,256,734,1315,636.75,050
05033,2901,4472,2134,3639,4105,3450.2,050
05047,1202,636,817,1285,315,851,050
05071,1353,980,944,1390,1631,1259.6,050
05113,67,371,645,401,693,435.4,050
05115,6670,6218,4048,2279,1951,4233.2,050
05131,159,38,659,1369,209,486.8,050
05149,1478,3096,4196,5162,5198,3826,050
06001,7511,8893,9687,6185,10750,8605.2,064
06013,22625,27272,27421,32921,30810,28209.8,064
06033,13906,13499,13551,23412,17520,16377.6,069
06041,4978,3732,1614,1856,830,2602,064
06053,294590,263835,232969,253205,262399,261399.6,069
06055,60945,54580,51604,52874,44452,52891,064
06069,18085,19202,30372,33200,37413,27654.4,064
06079,75766,81636,98898,74444,62013,78551.4,069
06081,3023,2822,3579,4849,4556,3765.8,064
