,Geo_FIPS,population_1980,pop_changes,income_per_capita_1980,income_changes,liv_avg,avg_ag,mat,seasonality_t,mapcp,seasonality_p,cluster
0,1001,32259,23380,5774,24030,15914.63415,1061,64.23882114,0.551106611,54.34219512,0.568322689,4
1,1003,78556,139733,5960,27791,29256.09756,8956,67.20487805,0.461493794,63.57439024,0.553881568,4
2,1005,24756,270,4544,15530,24148.78049,3000,65.12642276,0.515432773,52.38292683,0.572091074,4
3,1007,15723,6651,4859,17767,8002.439024,82,62.95,0.578352932,55.64219512,0.491134557,4
4,1009,36459,21296,5213,20244,37441.46341,613.2,61.3054878,0.615231597,56.78512195,0.424192184,4
5,1011,10596,-423,3961,16822,15978.04878,795,64.54308943,0.530861087,52.63682927,0.559211532,4
6,1013,21680,-1954,4594,18821,16056.09756,155.4,64.58719512,0.518489846,56.4602439,0.503561755,4
7,1015,119761,-5437,5596,20642,16797.56098,1219.2,61.52845528,0.599801797,53.57195122,0.471979786,4
8,1017,39191,-5764,5171,18917,17273.17073,207,62.08760163,0.573461965,53.20219512,0.501006285,4
9,1019,18760,7275,5436,20795,14182.92683,1268.2,60.98414634,0.616953626,53.9502439,0.426734661,4
10,1021,30612,13535,5153,20741,18809.7561,697.8,62.96341463,0.56811931,55.06170732,0.519807046,4
11,1023,16839,-4084,4657,18635,9192.682927,22,64.77235772,0.534856282,56.18341463,0.466555532,4
12,1025,27702,-3836,5041,19533,8858.536585,33,65.22012195,0.513271192,58.33634146,0.480644204,4
13,1027,13703,-418,4855,20482,19187.80488,54,61.07906504,0.584648047,56.44756098,0.463127876,4
14,1029,12595,2357,5013,19710,10790.2439,386.3333333,60.49979675,0.59713968,54.36219512,0.442290867,4
15,1031,38533,13705,5714,22198,27585.36585,3745.6,65.53495935,0.502171,56.51536585,0.515344413,4
16,1033,54519,438,6256,19551,18348.78049,2670.5,60.36727642,0.644025225,56.55073171,0.488937194,4
17,1035,15884,-3665,4504,16252,16075.60976,81,65.35792683,0.499426236,59.5,0.494117647,4
18,1037,11377,-681,4912,20171,6275.609756,46.25,62.55081301,0.570580016,55.23878049,0.479885552,4
19,1039,36850,246,5186,20117,33473.17073,1409.75,65.55426829,0.497521138,58.92414634,0.486479103,4
20,1041,14110,-284,4339,22012,23102.43902,895.25,64.46930894,0.521707878,55.80853659,0.541800144,4
21,1043,61642,21703,5444,19326,64078.04878,835,60.84186992,0.626013055,57.81097561,0.405628098,4
22,1045,47821,1472,5313,19160,15763.41463,2496.8,65.9050813,0.49727836,54.95268293,0.534632899,4
23,1047,53981,-15797,4654,14999,31019.5122,2865.6,64.67825203,0.541668107,53.16658537,0.540812816,4
24,1049,53658,17772,5294,17217,52639.02439,671.6,59.50772358,0.63127694,57.14219512,0.397416799,4
25,1051,43390,38136,5765,23820,17941.46341,1884.2,64.05995935,0.554130245,53.73585366,0.561391086,4
26,1053,38440,-1665,5034,13553,15978.04878,1559,66.06585366,0.483331487,62.45731707,0.521237919,4
27,1055,103057,-336,6105,18989,21892.68293,360,61.3800813,0.613530249,55.43585366,0.464188449,4
28,1057,18809,-2403,5300,18089,9819.512195,282.5,62.05365854,0.605809292,58.14731707,0.397996678,4
29,1059,28350,3237,5454,16049,27575.60976,379.75,60.2402439,0.638621779,58.51658537,0.495819405,4
30,1061,24253,2130,5585,16830,36895.12195,4415,66.36402439,0.486966748,57.98121951,0.556126248,4
31,1063,11021,-2800,3532,12893,19160.97561,197.5,63.90101626,0.572035637,54.68268293,0.493757778,4
32,1065,15604,-850,3735,16917,30065.85366,492.5,63.83577236,0.566965537,54.3795122,0.502969196,4
33,1067,15302,1821,4880,21131,18790.2439,6627,66.03760163,0.495652575,53.19365854,0.621585188,4
34,1069,74632,30687,6094,21700,26987.80488,10319.4,66.8445122,0.480875713,54.71536585,0.598948884,4
35,1071,51407,358,5452,18392,35753.65854,758.6,59.69105691,0.642740398,58.07512195,0.434878291,4
36,1073,671324,-12709,7070,26273,7636.585366,339.2,62.38638211,0.597065886,55.8695122,0.436697007,4
37,1075,16453,-2599,5098,17201,9365.853659,658.6666667,62.14857724,0.609593454,58.03341463,0.455162501,4
