Geo_FIPS,Geo_QName,income_per_capita_2020,income_per_capita_2010,income_per_capita_2000,income_per_capita_1990,income_per_capita_1980,income_changes,FAF
01001,"Autauga County, Alabama",29804,24568,18518,11182,5774,24030,019
01003,"Baldwin County, Alabama",33751,26469,20826,12275,5960,27791,012
01005,"Barbour County, Alabama",20074,15875,13316,9515,4544,15530,019
01007,"Bibb County, Alabama",22626,19918,14105,8973,4859,17767,011
01009,"Blount County, Alabama",25457,21070,16325,10168,5213,20244,011
01011,"Bullock County, Alabama",20783,20289,10163,6922,3961,16822,019
01013,"Butler County, Alabama",23415,16916,15715,7903,4594,18821,019
01015,"Calhoun County, Alabama",26238,20574,17367,10704,5596,20642,019
01017,"Chambers County, Alabama",24088,16626,15147,10000,5171,18917,019
01019,"Cherokee County, Alabama",26231,21322,15543,9915,5436,20795,019
01021,"Chilton County, Alabama",25894,20517,15303,9826,5153,20741,011
01023,"Choctaw County, Alabama",23292,17214,14635,9622,4657,18635,019
01025,"Clarke County, Alabama",24574,17372,14581,9031,5041,19533,019
01027,"Clay County, Alabama",25337,18332,13785,9533,4855,20482,019
01029,"Cleburne County, Alabama",24723,17490,14762,9876,5013,19710,019
01031,"Coffee County, Alabama",27912,22797,18321,11286,5714,22198,019
01033,"Colbert County, Alabama",25807,21079,17533,11425,6256,19551,019
01035,"Conecuh County, Alabama",20756,15755,12964,7953,4504,16252,019
01037,"Coosa County, Alabama",25083,19209,14875,9234,4912,20171,019
01039,"Covington County, Alabama",25303,19822,15365,9315,5186,20117,019
01041,"Crenshaw County, Alabama",26351,19793,14565,8848,4339,22012,019
01043,"Cullman County, Alabama",24770,20284,16922,10447,5444,19326,011
01045,"Dale County, Alabama",24473,21722,16010,10580,5313,19160,019
01047,"Dallas County, Alabama",19653,16646,13638,8344,4654,14999,019
01049,"De Kalb County, Alabama",22511,18152,15818,9604,5294,17217,019
01051,"Elmore County, Alabama",29585,22640,17650,10677,5765,23820,019
01053,"Escambia County, Alabama",18587,16259,14396,8858,5034,13553,019
01055,"Etowah County, Alabama",25094,20439,16783,10997,6105,18989,019
01057,"Fayette County, Alabama",23389,17711,14439,9864,5300,18089,019
01059,"Franklin County, Alabama",21503,18094,14814,9049,5454,16049,019
01061,"Geneva County, Alabama",22415,18351,14620,9768,5585,16830,019
01063,"Greene County, Alabama",16425,14738,13686,6306,3532,12893,019
01065,"Hale County, Alabama",20652,16523,12661,8164,3735,16917,019
01067,"Henry County, Alabama",26011,19716,15681,9909,4880,21131,019
01069,"Houston County, Alabama",27794,22725,18759,12118,6094,21700,019
01071,"Jackson County, Alabama",23844,18905,16000,10144,5452,18392,019
01073,"Jefferson County, Alabama",33343,26529,20892,13277,7070,26273,011
01075,"Lamar County, Alabama",22299,19789,14435,9945,5098,17201,019
01077,"Lauderdale County, Alabama",28540,22341,18626,11685,6283,22257,019
01079,"Lawrence County, Alabama",24779,19370,16515,9800,4804,19975,019
01081,"Lee County, Alabama",28804,22794,17158,11409,5638,23166,019
01083,"Limestone County, Alabama",28695,24007,17782,11696,5579,23116,019
01085,"Lowndes County, Alabama",21298,16524,12457,6848,3389,17909,019
01087,"Macon County, Alabama",22170,16380,13714,7534,4046,18124,019
01089,"Madison County, Alabama",38192,29918,23091,15443,7050,31142,019
01091,"Marengo County, Alabama",27975,18323,15308,9242,4739,23236,019
01093,"Marion County, Alabama",22486,19030,15321,9645,5164,17322,019
01095,"Marshall County, Alabama",25861,19875,17089,10793,5439,20422,019
01097,"Mobile County, Alabama",26778,21548,17178,11158,6047,20731,012
01099,"Monroe County, Alabama",21885,17652,14862,9299,4913,16972,019
01101,"Montgomery County, Alabama",29543,24622,19358,12806,6579,22964,019
01103,"Morgan County, Alabama",28474,23090,19223,12830,6323,22151,019
01105,"Perry County, Alabama",13833,13433,10948,6879,3562,10271,019
01107,"Pickens County, Alabama",23476,16278,13746,8564,4451,19025,019
01109,"Pike County, Alabama",23784,19013,14904,9423,4503,19281,019
01111,"Randolph County, Alabama",24744,19844,14147,9092,4362,20382,019
01113,"Russell County, Alabama",24300,17415,14015,9675,4832,19468,019
01115,"St. Clair County, Alabama",27941,22192,17960,10596,5617,22324,011
01117,"Shelby County, Alabama",39711,33978,27176,16237,6891,32820,011
01119,"Sumter County, Alabama",16977,14460,11491,8031,4383,12594,019
01121,"Talladega County, Alabama",24244,18713,15704,9700,4981,19263,019
01123,"Tallapoosa County, Alabama",25640,22542,16909,10878,5309,20331,019
01125,"Tuscaloosa County, Alabama",27609,22546,18998,11406,5684,21925,019
01127,"Walker County, Alabama",25330,20516,15546,10105,5524,19806,011
01129,"Washington County, Alabama",30391,18824,14081,8340,4578,25813,019
01131,"Wilcox County, Alabama",19031,12573,10903,6552,3624,15407,019
01133,"Winston County, Alabama",23269,18055,15738,9349,5219,18050,019
04001,"Apache County, Arizona",15781,12294,8986,5399,3338,12443,049
04003,"Cochise County, Arizona",28021,23010,15988,10716,5738,22283,049
04005,"Coconino County, Arizona",27631,22632,17139,10580,5631,22000,049
04007,"Gila County, Arizona",26265,19600,16315,10297,5511,20754,049
04009,"Graham County, Arizona",19878,15644,12139,8955,4623,15255,049
04011,"Greenlee County, Arizona",27618,21281,15814,9794,6567,21051,049
04013,"Maricopa County, Arizona",35090,27816,22251,14970,7716,27374,041
04015,"Mohave County, Arizona",27968,21523,16788,11933,6673,21295,049
04017,"Navajo County, Arizona",19623,16745,11609,7586,4485,15138,049
04019,"Pima County, Arizona",30747,25093,19785,13177,7147,23600,042
