"","Pop_change_all","Income_change_all","Ag_change_all","Livstk_change_all","Avg_Rain_all","Avg_Temp_all","cluster_all","Water_change_all"
"71",5559.5,3009,-182,-6000,17.494,60.1516666666667,7,-28.1
"72",3467.5,1592,-7692,-6000,15.334,61.4916666666667,7,-4.15000000000001
"74",475024,3640.5,-72577,-15000,8.036,70.83,7,-240.67
"75",30767.5,2427.5,5176,6000,8.98,62.865,7,13.34
"77",88433,3304,4755,-23000,11.538,68.045,7,36.62
"78",31674,3398.5,-19840,55000,10.838,69.3166666666667,7,-209.73
"81",26565.5,2187,-10149,-16000,3.872,72.6683333333333,7,64.78
"169",16529,2015.5,34082,70000,2.308,73.8416666666667,7,278.01
"192",145527,1749,-1475,-7000,5.9,66.5283333333333,7,34.5700000000001
"275",18179.5,3106.5,5407,-6000,51.234,69.4666666666667,7,9.79
"279",38626,3195.5,-6092,-8000,49.458,72.7883333333333,7,-71.53
"280",183765,3143.5,2699,-5000,62.482,75.5433333333333,7,298.06
"282",15326,3687.5,-1779,-8000,50.168,73.84,7,14.05
"283",12285,3217,93,500,46.016,70.5383333333333,7,-1260.13
"284",17414,3461.5,-208,0,47.532,69.305,7,12.07
"285",49639,4904.5,1855,-5500,52.306,75.1116666666667,7,21.71
"286",6950,2137,-972,4000,49.682,68.4133333333333,7,-2.99
"287",4172,1857,5882,-3000,48.708,72.9666666666667,7,62.44
"288",1621,2516,1112,1500,55.42,68.715,7,-0.12
"289",52954,3448,1318,-2000,47.856,69.0366666666667,7,94.3100000000001
"291",10565.5,3377.5,-3481,-1500,48.458,70.55,7,13.73
"293",2385,2147.5,-2599,-2000,54.166,68.815,7,6.53
"294",1492.5,2309.5,22937,-6000,47.908,73.6883333333333,7,-24.96
"297",3719.5,1517,2523,-7000,49.35,72.6366666666667,7,40.15
"298",5218.5,1814,22431,-12000,50.02,74.3466666666667,7,-45.11
"299",14843.5,3228.5,247,-5000,47.544,70.8233333333333,7,8.83000000000001
"300",9467,2555,10731,-7000,47.866,73.0616666666667,7,54.79
"301",82447,3804.5,-5654,-6000,50.052,72.415,7,850.84
"303",11369.5,4701,16669,-4000,51.276,72.66,7,21
"307",29212,3874.5,-6103,5500,46.766,71.4966666666667,7,16.4
"308",52887.5,4459.5,-2734,-1000,50.556,74.5183333333333,7,153.12
"310",4263.5,2680,6256,4500,52.4,69.5416666666667,7,7.6
"313",26147.5,3972,-3594,-6500,51.194,72.9066666666667,7,64.17
"314",32041.5,3033,-938,-5500,47.776,70.4416666666667,7,16.74
"315",12915.5,4628,-5641,-8000,54.57,73.98,7,28.47
"316",6861,4774,50,-5000,47.98,68.3983333333333,7,1.27
"318",3141.5,2380.5,-12039,-17000,49.31,73.045,7,30.25
"319",109426.5,3173,-10478,-3000,47.916,72.4283333333333,7,15.93
"320",32382.5,2377,-39439,-7000,48.142,72.6883333333333,7,61.23
"321",133833,4432,648,-7000,56.21,74.765,7,279.01
"322",31817,3353.5,-2003,-3000,49.69,71.3,7,928.28
"324",39271,2955,-3679,-14000,48.014,72.645,7,-29.24
"325",2676.5,2762,-1061,1000,47.672,70.1166666666667,7,0.75
"326",19653,5780.5,1864,-500,48.104,69.7683333333333,7,9.33000000000001
"327",21262,2701.5,-37496,1000,53.936,73.2966666666667,7,272.35
"329",24090.5,4942.5,-143,-3000,52.286,73.4933333333333,7,-1.46
"330",38833.5,3973.5,-2304,-3500,48.02,72.3733333333333,7,20.43
"331",10884,3455,1633,-6000,45.966,70.9433333333333,7,-21.75
"335",36315.5,3188,-2079,-2500,48.098,71.5233333333333,7,78.09
"363",7556.5,4084.5,85,-1200,46.472,66.685,7,-391.95
"400",2536,3826,14,-200,46.396,67.75,7,21.86
"1685",1526.5,2666.5,-7867,-8000,12.904,62.5316666666667,7,-19.04
"2005",300,2281.5,-6556,-25000,33.266,60.9616666666667,7,11.1
"2007",1351,2122.5,-991,4000,36.606,63.0283333333333,7,119.51
"2011",16881.5,3466,1567,-5000,38.64,61.2916666666667,7,1.26
"2013",1755,2563,-797,10000,32.79,62.27,7,-0.989999999999998
"2014",-18.5,2739.5,-395,13000,29.916,63.4583333333333,7,-0.66
"2016",3226,2791.5,293,-8000,43.078,60.0116666666667,7,-13.58
"2022",302.5,2654,-392,10000,37.074,62.0116666666667,7,1.93
"2023",1884.5,2713,841,-15000,35.386,61.4616666666667,7,2.76
"2025",-249,2482,-4828,1000,28.552,61.64,7,2.48
"2026",-255,2823.5,-1583,-4000,27.87,62.055,7,4.23
"2030",-162.5,2615,1753,-15000,28.848,62.6883333333333,7,58.43
"2031",-96,2234.5,-238,10000,32.052,63.5883333333333,7,-0.0300000000000011
"2035",-560,2509,1819,-7000,29.95,61.6083333333333,7,1.56
"2038",1432,2469,74,10000,39.582,60.745,7,0.15
"2039",2456.5,3463,-195,-30000,34.61,60.6133333333333,7,0.949999999999999
