,Geo_FIPS,2017_ag,2012_ag,2007_ag,2002_ag,1997_ag,avg_ag
0,1001.0,1411.0,1555.0,1157.0,928.0,254.0,1061.0
1,1011.0,120.0,1399.0,,866.0,,795.0
2,1047.0,6359.0,1975.0,2942.0,1935.0,1117.0,2865.6
3,1051.0,2570.0,3066.0,2010.0,863.0,912.0,1884.2
4,1063.0,55.0,334.0,286.0,115.0,,197.5
5,1065.0,1119.0,,92.0,222.0,537.0,492.5
6,1085.0,6195.0,3788.0,3131.0,3006.0,1164.0,3456.8
7,1087.0,2580.0,1850.0,2562.0,3142.0,1825.0,2391.8
8,1091.0,782.0,402.0,10.0,105.0,75.0,274.8
9,1101.0,114.0,1707.0,629.0,1000.0,628.0,815.6
10,1105.0,2951.0,338.0,135.0,94.0,,879.5
11,1119.0,1145.0,1479.0,472.0,136.0,379.0,722.2
12,1003.0,7429.0,7678.0,10159.0,11238.0,8276.0,8956.0
13,1013.0,550.0,18.0,71.0,5.0,133.0,155.4
14,1023.0,36.0,8.0,,,,22.0
15,1025.0,9.0,21.0,62.0,63.0,10.0,33.0
16,1035.0,73.0,102.0,130.0,40.0,60.0,81.0
17,1053.0,3118.0,836.0,1940.0,977.0,924.0,1559.0
18,1097.0,3077.0,2754.0,3541.0,2071.0,2693.0,2827.2
19,1099.0,1329.0,215.0,807.0,649.0,1562.0,912.4
20,1129.0,60.0,35.0,95.0,35.0,47.0,54.4
21,1009.0,935.0,516.0,568.0,603.0,444.0,613.2
22,1015.0,1058.0,922.0,1729.0,1586.0,801.0,1219.2
23,1019.0,807.0,1316.0,1189.0,2200.0,829.0,1268.2
24,1029.0,361.0,300.0,498.0,,,386.3333333333333
25,1043.0,1876.0,454.0,780.0,406.0,659.0,835.0
26,1049.0,1077.0,267.0,977.0,501.0,536.0,671.6
27,1055.0,622.0,70.0,589.0,171.0,348.0,360.0
28,1071.0,1397.0,437.0,713.0,447.0,799.0,758.6
29,1095.0,282.0,166.0,1237.0,380.0,372.0,487.4
30,1115.0,842.0,344.0,1840.0,1692.0,2330.0,1409.6
31,1077.0,855.0,355.0,1074.0,698.0,315.0,659.4
32,1079.0,6377.0,4702.0,4062.0,2252.0,1092.0,3697.0
33,1083.0,10438.0,13128.0,7398.0,8560.0,4608.0,8826.4
34,1089.0,10663.0,5089.0,6490.0,3981.0,3218.0,5888.2
35,1103.0,356.0,325.0,364.0,869.0,476.0,478.0
36,1133.0,640.0,,41.0,16.0,156.0,213.25
37,1007.0,78.0,55.0,164.0,31.0,,82.0
38,1017.0,158.0,73.0,338.0,257.0,209.0,207.0
