,Geo_FIPS,Geo_QName,income_per_capita_2020,income_per_capita_2010,income_per_capita_2000,income_per_capita_1990,income_per_capita_1980,income_changes
0,1001,"Autauga County, Alabama",29804,24568.0,18518,11182,5774,24030
1,1003,"Baldwin County, Alabama",33751,26469.0,20826,12275,5960,27791
2,1005,"Barbour County, Alabama",20074,15875.0,13316,9515,4544,15530
3,1007,"Bibb County, Alabama",22626,19918.0,14105,8973,4859,17767
4,1009,"Blount County, Alabama",25457,21070.0,16325,10168,5213,20244
5,1011,"Bullock County, Alabama",20783,20289.0,10163,6922,3961,16822
6,1013,"Butler County, Alabama",23415,16916.0,15715,7903,4594,18821
7,1015,"Calhoun County, Alabama",26238,20574.0,17367,10704,5596,20642
8,1017,"Chambers County, Alabama",24088,16626.0,15147,10000,5171,18917
9,1019,"Cherokee County, Alabama",26231,21322.0,15543,9915,5436,20795
10,1021,"Chilton County, Alabama",25894,20517.0,15303,9826,5153,20741
11,1023,"Choctaw County, Alabama",23292,17214.0,14635,9622,4657,18635
12,1025,"Clarke County, Alabama",24574,17372.0,14581,9031,5041,19533
13,1027,"Clay County, Alabama",25337,18332.0,13785,9533,4855,20482
14,1029,"Cleburne County, Alabama",24723,17490.0,14762,9876,5013,19710
15,1031,"Coffee County, Alabama",27912,22797.0,18321,11286,5714,22198
16,1033,"Colbert County, Alabama",25807,21079.0,17533,11425,6256,19551
17,1035,"Conecuh County, Alabama",20756,15755.0,12964,7953,4504,16252
18,1037,"Coosa County, Alabama",25083,19209.0,14875,9234,4912,20171
19,1039,"Covington County, Alabama",25303,19822.0,15365,9315,5186,20117
20,1041,"Crenshaw County, Alabama",26351,19793.0,14565,8848,4339,22012
21,1043,"Cullman County, Alabama",24770,20284.0,16922,10447,5444,19326
22,1045,"Dale County, Alabama",24473,21722.0,16010,10580,5313,19160
23,1047,"Dallas County, Alabama",19653,16646.0,13638,8344,4654,14999
24,1049,"De Kalb County, Alabama",22511,18152.0,15818,9604,5294,17217
25,1051,"Elmore County, Alabama",29585,22640.0,17650,10677,5765,23820
26,1053,"Escambia County, Alabama",18587,16259.0,14396,8858,5034,13553
27,1055,"Etowah County, Alabama",25094,20439.0,16783,10997,6105,18989
28,1057,"Fayette County, Alabama",23389,17711.0,14439,9864,5300,18089
29,1059,"Franklin County, Alabama",21503,18094.0,14814,9049,5454,16049
30,1061,"Geneva County, Alabama",22415,18351.0,14620,9768,5585,16830
31,1063,"Greene County, Alabama",16425,14738.0,13686,6306,3532,12893
32,1065,"Hale County, Alabama",20652,16523.0,12661,8164,3735,16917
33,1067,"Henry County, Alabama",26011,19716.0,15681,9909,4880,21131
34,1069,"Houston County, Alabama",27794,22725.0,18759,12118,6094,21700
35,1071,"Jackson County, Alabama",23844,18905.0,16000,10144,5452,18392
36,1073,"Jefferson County, Alabama",33343,26529.0,20892,13277,7070,26273
37,1075,"Lamar County, Alabama",22299,19789.0,14435,9945,5098,17201
38,1077,"Lauderdale County, Alabama",28540,22341.0,18626,11685,6283,22257
39,1079,"Lawrence County, Alabama",24779,19370.0,16515,9800,4804,19975
40,1081,"Lee County, Alabama",28804,22794.0,17158,11409,5638,23166
41,1083,"Limestone County, Alabama",28695,24007.0,17782,11696,5579,23116
42,1085,"Lowndes County, Alabama",21298,16524.0,12457,6848,3389,17909
43,1087,"Macon County, Alabama",22170,16380.0,13714,7534,4046,18124
44,1089,"Madison County, Alabama",38192,29918.0,23091,15443,7050,31142
45,1091,"Marengo County, Alabama",27975,18323.0,15308,9242,4739,23236
46,1093,"Marion County, Alabama",22486,19030.0,15321,9645,5164,17322
47,1095,"Marshall County, Alabama",25861,19875.0,17089,10793,5439,20422
48,1097,"Mobile County, Alabama",26778,21548.0,17178,11158,6047,20731
49,1099,"Monroe County, Alabama",21885,17652.0,14862,9299,4913,16972
50,1101,"Montgomery County, Alabama",29543,24622.0,19358,12806,6579,22964
51,1103,"Morgan County, Alabama",28474,23090.0,19223,12830,6323,22151
52,1105,"Perry County, Alabama",13833,13433.0,10948,6879,3562,10271
53,1107,"Pickens County, Alabama",23476,16278.0,13746,8564,4451,19025
54,1109,"Pike County, Alabama",23784,19013.0,14904,9423,4503,19281
55,1111,"Randolph County, Alabama",24744,19844.0,14147,9092,4362,20382
56,1113,"Russell County, Alabama",24300,17415.0,14015,9675,4832,19468
57,1115,"St. Clair County, Alabama",27941,22192.0,17960,10596,5617,22324
58,1117,"Shelby County, Alabama",39711,33978.0,27176,16237,6891,32820
59,1119,"Sumter County, Alabama",16977,14460.0,11491,8031,4383,12594
60,1121,"Talladega County, Alabama",24244,18713.0,15704,9700,4981,19263
61,1123,"Tallapoosa County, Alabama",25640,22542.0,16909,10878,5309,20331
62,1125,"Tuscaloosa County, Alabama",27609,22546.0,18998,11406,5684,21925
63,1127,"Walker County, Alabama",25330,20516.0,15546,10105,5524,19806
64,1129,"Washington County, Alabama",30391,18824.0,14081,8340,4578,25813
65,1131,"Wilcox County, Alabama",19031,12573.0,10903,6552,3624,15407
66,1133,"Winston County, Alabama",23269,18055.0,15738,9349,5219,18050
67,4001,"Apache County, Arizona",15781,12294.0,8986,5399,3338,12443
68,4003,"Cochise County, Arizona",28021,23010.0,15988,10716,5738,22283
69,4005,"Coconino County, Arizona",27631,22632.0,17139,10580,5631,22000
70,4007,"Gila County, Arizona",26265,19600.0,16315,10297,5511,20754
71,4009,"Graham County, Arizona",19878,15644.0,12139,8955,4623,15255
72,4011,"Greenlee County, Arizona",27618,21281.0,15814,9794,6567,21051
73,4013,"Maricopa County, Arizona",35090,27816.0,22251,14970,7716,27374
74,4015,"Mohave County, Arizona",27968,21523.0,16788,11933,6673,21295
75,4017,"Navajo County, Arizona",19623,16745.0,11609,7586,4485,15138
76,4019,"Pima County, Arizona",30747,25093.0,19785,13177,7147,23600
77,4021,"Pinal County, Arizona",27354,21716.0,16025,9228,5313,22041
78,4023,"Santa Cruz County, Arizona",21686,16209.0,13278,9007,5447,16239
79,4025,"Yavapai County, Arizona",31779,25527.0,19727,12657,6450,25329
80,4027,"Yuma County, Arizona",23507,18418.0,14802,10428,5681,17826
81,5001,"Arkansas County, Arkansas",26969,22142.0,16401,11169,6054,20915
82,5003,"Ashley County, Arkansas",23138,18779.0,15702,9696,5203,17935
83,5005,"Baxter County, Arkansas",27695,21513.0,16859,10648,5723,21972
84,5007,"Benton County, Arkansas",36597,25186.0,19377,12274,6100,30497
85,5009,"Boone County, Arkansas",24749,20507.0,16175,10129,5434,19315
86,5011,"Bradley County, Arkansas",22912,18845.0,13895,8824,4563,18349
87,5013,"Calhoun County, Arkansas",24823,16457.0,15555,9464,4257,20566
88,5015,"Carroll County, Arkansas",26445,19743.0,16003,10176,5238,21207
89,5017,"Chicot County, Arkansas",21418,14668.0,12825,7452,4091,17327
90,5019,"Clark County, Arkansas",21708,17186.0,14533,9001,5546,16162
91,5021,"Clay County, Arkansas",22935,18892.0,14512,9018,4794,18141
92,5023,"Cleburne County, Arkansas",27490,20371.0,17250,10039,5093,22397
93,5025,"Cleveland County, Arkansas",23998,19481.0,15362,9025,4833,19165
94,5027,"Columbia County, Arkansas",23217,20110.0,15322,9425,5526,17691
