,Geo_FIPS,TW_1985,TW_1990,TW_1995,TW_2000,TW_2005,TW_2010,TW_2015
0,1001,32.02,36.19,40.26,37.25,43.66,55.55,56.41
1,1003,21.63,39.98,42.14,34.63,69.01,64.36,84.7
2,1005,6.17,6.17,15.03,7.42,16.49,11.05,9.02
3,1007,2.43,4.15,3.32,4.0,4.98,7.61,5.87
4,1009,6.53,10.52,51.29,32.26,18.95,57.08,60.07
5,1011,2.76,4.63,4.84,3.14,5.44,3.19,4.39
6,1013,2.98,3.61,3.73,3.91,4.39,4.52,4.06
7,1015,22.56,23.88,26.3,24.8,28.95,29.31,30.67
8,1017,21.74,22.26,12.56,12.26,8.4,5.4,5.13
9,1019,2.64,3.13,6.43,6.24,7.2,5.54,7.42
10,1021,5.73,6.65,5.64,5.11,6.25,7.32,6.1
11,1023,47.13,42.89,52.03,51.71,49.57,42.89,48.46
12,1025,22.82,23.58,25.98,22.82,4.9,24.31,26.47
13,1027,2.26,2.96,2.65,1.67,2.7,2.51,2.6
14,1029,3.19,3.43,2.58,2.08,2.37,1.79,1.89
15,1031,14.29,15.03,16.25,12.76,12.95,14.66,13.54
16,1033,1236.71,832.18,91.06,1346.03,1363.16,1344.32,1005.62
17,1035,2.08,2.45,2.21,2.49,2.37,2.4,1.93
18,1037,0.96,0.94,0.93,0.65,1.0,0.93,0.86
19,1039,8.95,18.85,12.37,28.92,13.54,10.32,10.28
20,1041,5.74,6.88,2.51,2.31,3.23,3.16,3.38
21,1043,15.13,21.93,20.29,41.49,32.66,37.88,29.12
22,1045,9.22,12.24,13.75,8.52,12.23,10.25,9.14
23,1047,31.5,33.14,57.16,53.8,17.78,49.12,53.34
24,1049,9.47,13.13,9.84,18.08,16.43,11.94,12.62
25,1051,4.59,6.02,6.29,6.14,14.82,16.02,18.71
26,1053,35.12,37.05,49.23,42.74,42.84,45.21,42.57
27,1055,273.53,310.2,264.51,270.51,173.86,146.3,132.81
28,1057,3.24,3.81,3.06,2.85,3.93,4.65,3.05
29,1059,3.91,4.68,5.28,4.81,7.1,6.43,8.37
30,1061,11.27,10.51,3.9,3.69,7.61,7.45,8.87
31,1063,344.94,404.1,320.39,360.93,398.58,366.36,388.86
32,1065,24.39,33.89,39.17,6.01,28.39,20.25,21.09
33,1067,12.43,4.04,9.48,4.66,5.82,6.49,8.03
34,1069,134.48,122.44,120.04,129.93,131.78,118.04,127.23
35,1071,1194.27,1038.86,1301.59,1563.33,1498.24,1067.46,375.99
36,1073,160.07,143.28,92.12,102.64,81.01,81.33,57.98
37,1075,2.19,3.23,4.33,2.18,2.25,2.08,2.16
38,1077,11.43,12.01,16.13,15.04,17.17,17.5,15.81
39,1079,54.21,55.72,62.14,59.87,67.43,72.81,11.53
40,1081,16.78,11.45,18.89,16.91,21.51,18.19,20.18
41,1083,1173.18,649.81,792.26,2120.52,2013.88,2744.24,2873.04
42,1085,2.47,3.43,8.53,2.43,5.97,4.45,13.19
43,1087,4.69,7.13,6.79,4.78,9.94,7.14,11.05
44,1089,48.58,56.06,54.01,53.78,70.51,79.13,78.26
45,1091,54.3,37.86,31.91,23.4,26.79,25.05,24.28
46,1093,4.97,5.88,6.6,5.57,7.84,6.98,7.38
47,1095,16.27,19.84,22.38,19.28,27.06,30.45,27.58
48,1097,1289.08,1447.8,1105.64,1294.77,1130.94,1096.73,783.99
49,1099,28.71,29.4,63.86,80.51,60.01,50.62,53.13
50,1101,36.1,40.59,59.98,47.0,69.73,37.63,38.84
51,1103,138.57,162.91,140.11,161.63,124.8,123.64,121.55
52,1105,6.17,8.03,8.29,3.63,12.39,10.83,7.41
53,1107,4.56,5.44,6.19,3.37,5.67,6.17,7.11
54,1109,9.92,8.89,11.83,7.13,6.99,7.8,6.93
55,1111,2.19,3.69,2.2,2.24,2.78,2.86,2.65
56,1113,37.36,38.04,34.13,31.72,43.72,40.68,44.48
57,1115,6.56,10.26,8.67,8.12,21.01,18.07,18.33
58,1117,852.47,878.33,720.03,779.74,833.25,688.57,485.33
59,1119,4.22,5.11,9.58,2.29,10.27,8.64,9.79
60,1121,71.57,84.29,77.21,93.32,78.28,46.0,49.97
61,1123,13.0,14.58,13.07,11.3,14.64,12.08,13.29
62,1125,29.12,33.3,37.24,34.84,36.02,39.23,42.02
63,1127,865.91,1041.61,906.72,692.81,969.46,954.97,710.17
64,1129,49.82,73.54,86.46,123.89,99.17,89.63,56.12
65,1131,21.09,21.35,43.01,24.25,23.65,22.23,23.29
