STATE,STATEFIPS,COUNTYFIPS,FIPS,TO-WTotl
AL,1,1,1001,37.25
AL,1,3,1003,34.63
AL,1,5,1005,7.42
AL,1,7,1007,4
AL,1,9,1009,32.26
AL,1,11,1011,3.14
AL,1,13,1013,3.91
AL,1,15,1015,24.8
AL,1,17,1017,12.26
AL,1,19,1019,6.24
AL,1,21,1021,5.11
AL,1,23,1023,51.71
AL,1,25,1025,22.82
AL,1,27,1027,1.67
AL,1,29,1029,2.08
AL,1,31,1031,12.76
AL,1,33,1033,1346.03
AL,1,35,1035,2.49
AL,1,37,1037,0.65
AL,1,39,1039,28.92
AL,1,41,1041,2.31
AL,1,43,1043,41.49
AL,1,45,1045,8.52
AL,1,47,1047,53.8
AL,1,49,1049,18.08
AL,1,51,1051,6.14
AL,1,53,1053,42.74
AL,1,55,1055,270.51
AL,1,57,1057,2.85
AL,1,59,1059,4.81
AL,1,61,1061,3.69
AL,1,63,1063,360.93
AL,1,65,1065,6.01
AL,1,67,1067,4.66
AL,1,69,1069,129.93
AL,1,71,1071,1563.33
AL,1,73,1073,102.64
AL,1,75,1075,2.18
AL,1,77,1077,15.04
AL,1,79,1079,59.87
AL,1,81,1081,16.91
AL,1,83,1083,2120.52
AL,1,85,1085,2.43
AL,1,87,1087,4.78
AL,1,89,1089,53.78
AL,1,91,1091,23.4
AL,1,93,1093,5.57
AL,1,95,1095,19.28
AL,1,97,1097,1294.77
AL,1,99,1099,80.51
AL,1,101,1101,47
AL,1,103,1103,161.63
AL,1,105,1105,3.63
AL,1,107,1107,3.37
AL,1,109,1109,7.13
AL,1,111,1111,2.24
AL,1,113,1113,31.72
AL,1,115,1115,8.12
AL,1,117,1117,779.74
AL,1,119,1119,2.29
AL,1,121,1121,93.32
AL,1,123,1123,11.3
AL,1,125,1125,34.84
AL,1,127,1127,692.81
AL,1,129,1129,123.89
AL,1,131,1131,24.25
AL,1,133,1133,0.81
AK,2,13,2013,3.26
AK,2,16,2016,4.89
AK,2,20,2020,41.85
AK,2,50,2050,0.24
AK,2,60,2060,0.18
AK,2,68,2068,13.76
AK,2,70,2070,0.37
AK,2,90,2090,43.31
AK,2,100,2100,0.57
AK,2,110,2110,4.25
AK,2,122,2122,8.67
AK,2,130,2130,6.67
AK,2,150,2150,6.31
AK,2,164,2164,0.47
AK,2,170,2170,4.38
AK,2,180,2180,0.94
AK,2,185,2185,140.33
AK,2,188,2188,7.13
AK,2,201,2201,2.58
AK,2,220,2220,1.3
AK,2,232,2232,1.28
AK,2,240,2240,2.51
AK,2,261,2261,4.48
AK,2,270,2270,0.43
AK,2,280,2280,1.45
AK,2,282,2282,0.27
AK,2,290,2290,3.17
AZ,4,1,4001,47.63
AZ,4,3,4003,233.27
AZ,4,5,4005,52.68
AZ,4,7,4007,14.78
AZ,4,9,4009,172.21
AZ,4,11,4011,33.34
AZ,4,12,4012,879.01
AZ,4,13,4013,2151.37
AZ,4,15,4015,153.66
AZ,4,17,4017,69.96
AZ,4,19,4019,300.38
AZ,4,21,4021,1052.44
AZ,4,23,4023,22.66
AZ,4,25,4025,82.4
AZ,4,27,4027,1463.36
AR,5,1,5001,1138.43
AR,5,3,5003,151.94
AR,5,5,5005,5.75
AR,5,7,5007,373.85
AR,5,9,5009,3.92
AR,5,11,5011,2.75
AR,5,13,5013,0.55
AR,5,15,5015,5.4
AR,5,17,5017,222.07
AR,5,19,5019,3.57
AR,5,21,5021,269.93
AR,5,23,5023,7.19
AR,5,25,5025,1.33
AR,5,27,5027,4.3
AR,5,29,5029,16.09
AR,5,31,5031,391.89
AR,5,33,5033,18.78
AR,5,35,5035,132.75
AR,5,37,5037,438.01
AR,5,39,5039,1.08
AR,5,41,5041,414.51
AR,5,43,5043,64.01
AR,5,45,5045,12.83
AR,5,47,5047,2.74
AR,5,49,5049,1.56
AR,5,51,5051,17.28
AR,5,53,5053,1.8
AR,5,55,5055,165.09
AR,5,57,5057,5.85
AR,5,59,5059,414.87
AR,5,61,5061,6.76
AR,5,63,5063,78.93
AR,5,65,5065,2.05
AR,5,67,5067,386.17
AR,5,69,5069,569.27
AR,5,71,5071,5.85
AR,5,73,5073,12.27
AR,5,75,5075,325.41
AR,5,77,5077,241.86
AR,5,79,5079,189.52
AR,5,81,5081,4.21
AR,5,83,5083,4.45
AR,5,85,5085,485.31
AR,5,87,5087,1.82
AR,5,89,5089,2.86
AR,5,91,5091,90.35
AR,5,93,5093,193.19
AR,5,95,5095,255.51
AR,5,97,5097,1.11
AR,5,99,5099,1.35
AR,5,101,5101,0.76
AR,5,103,5103,68.07
AR,5,105,5105,6.06
AR,5,107,5107,468.93
AR,5,109,5109,2.13
AR,5,111,5111,665.82
AR,5,113,5113,2.63
AR,5,115,5115,999.03
AR,5,117,5117,354.62
AR,5,119,5119,107.11
AR,5,121,5121,116.03
AR,5,123,5123,264.13
AR,5,125,5125,13.79
AR,5,127,5127,2.33
AR,5,129,5129,0.95
AR,5,131,5131,30.19
AR,5,133,5133,4.57
AR,5,135,5135,2.23
AR,5,137,5137,0.98
AR,5,139,5139,17.83
AR,5,141,5141,2.01
AR,5,143,5143,27.68
AR,5,145,5145,129.05
AR,5,147,5147,432.61
AR,5,149,5149,4.46
CA,6,1,6001,257.55
CA,6,3,6003,15.13
CA,6,5,6005,32.17
CA,6,7,6007,1077.98
CA,6,9,6009,17.24
CA,6,11,6011,913.57
CA,6,13,6013,1242.13
CA,6,15,6015,21.82
CA,6,17,6017,55.15
CA,6,19,6019,3744.99
CA,6,21,6021,683.75
CA,6,23,6023,152.83
CA,6,25,6025,2886.61
CA,6,27,6027,120.87
CA,6,29,6029,2884.94
CA,6,31,6031,1536.09
CA,6,33,6033,51.99
CA,6,35,6035,485.3
CA,6,37,6037,5364.88
CA,6,39,6039,993.38
CA,6,41,6041,44.48
CA,6,43,6043,6.43
CA,6,45,6045,56.63
CA,6,47,6047,1880.06
CA,6,49,6049,240.54
CA,6,51,6051,192.96
CA,6,53,6053,1781.73
CA,6,55,6055,81.07
CA,6,57,6057,48.31
CA,6,59,6059,723.42
CA,6,61,6061,189
CA,6,63,6063,55.31
CA,6,65,6065,1688.12
CA,6,67,6067,783.34
CA,6,69,6069,92.71
CA,6,71,6071,652.57
CA,6,73,6073,4393.87
CA,6,75,6075,252.94
CA,6,77,6077,1746.04
CA,6,79,6079,3110.71
CA,6,81,6081,102.86
CA,6,83,6083,426.82
CA,6,85,6085,342.4
CA,6,87,6087,78.28
CA,6,89,6089,433.5
CA,6,91,6091,44.43
CA,6,93,6093,561.72
CA,6,95,6095,517.72
CA,6,97,6097,159.3
CA,6,99,6099,1615.25
CA,6,101,6101,922.21
CA,6,103,6103,412.31
CA,6,105,6105,44.83
CA,6,107,6107,2409.09
CA,6,109,6109,32.76
CA,6,111,6111,1110.6
CA,6,113,6113,1028.1
CA,6,115,6115,372.12
CO,8,1,8001,133.59
CO,8,3,8003,224.83
CO,8,5,8005,111.99
CO,8,7,8007,66.61
CO,8,9,8009,111.58
CO,8,11,8011,324.5
CO,8,13,8013,182.02
CO,8,15,8015,72.16
CO,8,17,8017,32.58
CO,8,19,8019,1.81
CO,8,21,8021,254.02
CO,8,23,8023,100.32
CO,8,25,8025,97.95
CO,8,27,8027,49.3
CO,8,29,8029,678.54
CO,8,31,8031,159.17
CO,8,33,8033,54.64
CO,8,35,8035,43.34
CO,8,37,8037,140.59
CO,8,39,8039,18.39
CO,8,41,8041,138.49
CO,8,43,8043,160.42
CO,8,45,8045,420.8
CO,8,47,8047,0.63
CO,8,49,8049,110.39
CO,8,51,8051,241.94
CO,8,53,8053,9.71
CO,8,55,8055,68.16
CO,8,57,8057,322.82
CO,8,59,8059,144.14
CO,8,61,8061,28.75
CO,8,63,8063,186.44
CO,8,65,8065,41.02
CO,8,67,8067,220.61
CO,8,69,8069,272.04
CO,8,71,8071,121.73
CO,8,73,8073,20.22
CO,8,75,8075,309.31
CO,8,77,8077,1201.97
CO,8,79,8079,0.11
CO,8,81,8081,208.74
CO,8,83,8083,428.75
CO,8,85,8085,597.74
CO,8,87,8087,288.21
CO,8,89,8089,281.91
CO,8,91,8091,82.1
CO,8,93,8093,28.13
CO,8,95,8095,129.83
CO,8,97,8097,43.19
CO,8,99,8099,429.06
CO,8,101,8101,246.32
CO,8,103,8103,216.58
CO,8,105,8105,285.33
CO,8,107,8107,271.22
CO,8,109,8109,647.03
CO,8,111,8111,0.17
CO,8,113,8113,9.88
CO,8,115,8115,112.06
CO,8,117,8117,4.5
CO,8,119,8119,6.84
CO,8,121,8121,64.24
CO,8,123,8123,1064.17
CO,8,125,8125,321.13
CT,9,1,9001,
CT,9,3,9003,
CT,9,5,9005,
CT,9,7,9007,
CT,9,9,9009,
CT,9,11,9011,
CT,9,13,9013,
CT,9,15,9015,
DE,10,1,10001,29.62
DE,10,3,10003,819.74
DE,10,5,10005,473.27
DC,11,1,11001,9.87
FL,12,1,12001,58.1
FL,12,3,12003,7.5
FL,12,5,12005,322.87
FL,12,7,12007,4.65
FL,12,9,12009,1261.31
FL,12,11,12011,1813.66
FL,12,13,12013,6.13
FL,12,15,12015,63.93
FL,12,17,12017,425.19
FL,12,19,12019,33.59
FL,12,21,12021,229.91
FL,12,23,12023,13.75
FL,12,27,12027,133.38
FL,12,29,12029,3.29
FL,12,31,12031,814.49
FL,12,33,12033,313.77
FL,12,35,12035,27.88
FL,12,37,12037,2.25
FL,12,39,12039,15.61
FL,12,41,12041,15.89
FL,12,43,12043,74.63
FL,12,45,12045,4.43
FL,12,47,12047,41.7
FL,12,49,12049,91.15
FL,12,51,12051,511.9
FL,12,53,12053,50.45
FL,12,55,12055,174.26
FL,12,57,12057,3479
FL,12,59,12059,4.09
FL,12,61,12061,287.46
FL,12,63,12063,111.6
FL,12,65,12065,8.36
FL,12,67,12067,6.74
FL,12,69,12069,99.51
FL,12,71,12071,652.38
FL,12,73,12073,45.54
