"","Pop_change_all","Income_change_all","Ag_change_all","Livstk_change_all","Avg_Rain_all","Avg_Temp_all","cluster_all","Water_change_all"
"1",4724.5,3668,674,-11500,52.798,64.2416666666667,4,-3.01
"2",21067.5,4275.5,2962,-14500,60.918,67.3233333333333,4,-7.51
"3",1810.5,1900.5,3510,-6500,51.304,65.1583333333333,4,-7.61
"5",5888,3078.5,159,-3000,55.79,61.2583333333333,4,-19.03
"7",-246.5,3906,-128,-8500,56.224,64.625,4,0.18
"8",-1892.5,3331.5,785,-2500,51.848,61.4116666666667,4,-1.5
"9",-146.5,2573.5,48,-2000,50.806,62.1233333333333,4,-0.300000000000001
"10",2222.5,2814,1371,0,53.066,60.8933333333333,4,-0.19
"11",3567.5,2738.5,373,-3000,52.626,63.0583333333333,4,-0.529999999999999
"13",313.5,2775,53,-1500,56.038,65.43,4,-3.16
"14",501,2126,168,-5500,53.136,60.9333333333333,4,-0.98
"16",1687.5,3517.5,3688,-1500,54.292,65.5383333333333,4,-3.49
"17",1659,3054,11,-8500,54.328,60.5783333333333,4,1254.97
"18",17.5,2505.5,-20,1000,57.494,65.3466666666667,4,0.28
"19",569.5,2820.5,-5,-1000,53.04,62.5833333333333,4,-0.28
"22",4935,3237.5,-253,-500,57.426,60.89,4,21.2
"23",-252,2715,2505,-4500,53.57,65.9366666666667,4,-5.23
"24",-882.5,2647,818,-17000,52.272,64.7516666666667,4,-3.36
"25",4900.5,3107,-35,-4000,56.22,59.4283333333333,4,8.24
"26",8332,3486.5,-49,-4000,51.68,64.0433333333333,4,-0.15
"27",1461,2769,53,-1000,59.818,66.02,4,-6.48999999999999
"28",1809.5,2893,-177,-1000,53.906,61.3766666666667,4,6
"30",1704.5,2882.5,128,-4500,55.566,60.515,4,-0.470000000000001
"31",1058.5,2426,6751,-12500,56.248,66.185,4,-0.21
"33",843.5,2248.5,-315,-8500,53.602,64.05,4,-33.16
"34",468,2886,106,-6000,52.098,66.0216666666667,4,-4.82
"35",3728,3320.5,-766,-8500,54.324,66.8716666666667,4,9.89
"36",3065,2928,-352,-8000,57.3,59.54,4,261.74
"37",5261,3807.5,739,-4500,56.436,62.455,4,10.52
"40",1645,3357.5,1160,-3500,55.292,60.57,4,-2.27
"41",13973,2874.5,-13,-4500,50.122,63.5183333333333,4,-1.98
"42",5770.5,3043,3952,-1000,54.428,60.3266666666667,4,1328.26
"43",407.5,2804.5,1842,-12500,52.314,64.915,4,-6.1
