,Geo_FIPS,Geo_QName,population_2020,population_2010,population_2000,population_1990,population_1980,pop_changes
0,1001,"Autauga County, Alabama",55639,53155,43671,34222,32259,23380
1,1003,"Baldwin County, Alabama",218289,175791,140415,98280,78556,139733
2,1005,"Barbour County, Alabama",25026,27699,29038,25417,24756,270
3,1007,"Bibb County, Alabama",22374,22610,20826,16576,15723,6651
4,1009,"Blount County, Alabama",57755,56692,51024,39248,36459,21296
5,1011,"Bullock County, Alabama",10173,10923,11714,11042,10596,-423
6,1013,"Butler County, Alabama",19726,20895,21399,21892,21680,-1954
7,1015,"Calhoun County, Alabama",114324,117149,112249,116034,119761,-5437
8,1017,"Chambers County, Alabama",33427,34579,36583,36876,39191,-5764
9,1019,"Cherokee County, Alabama",26035,25700,23988,19543,18760,7275
10,1021,"Chilton County, Alabama",44147,43121,39593,32458,30612,13535
11,1023,"Choctaw County, Alabama",12755,14111,15922,16018,16839,-4084
12,1025,"Clarke County, Alabama",23866,26255,27867,27240,27702,-3836
13,1027,"Clay County, Alabama",13285,14040,14254,13252,13703,-418
14,1029,"Cleburne County, Alabama",14952,14823,14123,12730,12595,2357
15,1031,"Coffee County, Alabama",52238,48349,43615,40240,38533,13705
16,1033,"Colbert County, Alabama",54957,54446,54984,51666,54519,438
17,1035,"Conecuh County, Alabama",12219,13382,14089,14054,15884,-3665
18,1037,"Coosa County, Alabama",10696,11470,12202,11063,11377,-681
19,1039,"Covington County, Alabama",37096,37608,37631,36478,36850,246
20,1041,"Crenshaw County, Alabama",13826,13928,13665,13635,14110,-284
21,1043,"Cullman County, Alabama",83345,79941,77483,67613,61642,21703
22,1045,"Dale County, Alabama",49293,49730,49129,49633,47821,1472
23,1047,"Dallas County, Alabama",38184,44066,46365,48130,53981,-15797
24,1049,"De Kalb County, Alabama",71430,70038,64452,54651,53658,17772
25,1051,"Elmore County, Alabama",81526,77650,65874,49210,43390,38136
26,1053,"Escambia County, Alabama",36775,37996,38440,35518,38440,-1665
27,1055,"Etowah County, Alabama",102721,104066,103459,99840,103057,-336
28,1057,"Fayette County, Alabama",16406,17472,18495,17962,18809,-2403
29,1059,"Franklin County, Alabama",31587,31383,31223,27814,28350,3237
30,1061,"Geneva County, Alabama",26383,26541,25764,23647,24253,2130
31,1063,"Greene County, Alabama",8221,9255,9974,10153,11021,-2800
32,1065,"Hale County, Alabama",14754,16168,17185,15498,15604,-850
33,1067,"Henry County, Alabama",17123,17148,16310,15374,15302,1821
34,1069,"Houston County, Alabama",105319,99029,88787,81331,74632,30687
35,1071,"Jackson County, Alabama",51765,53386,53926,47796,51407,358
36,1073,"Jefferson County, Alabama",658615,656912,662047,651525,671324,-12709
37,1075,"Lamar County, Alabama",13854,14743,15904,15715,16453,-2599
38,1077,"Lauderdale County, Alabama",92870,91762,87966,79661,80546,12324
39,1079,"Lawrence County, Alabama",32969,34235,34803,31513,30170,2799
40,1081,"Lee County, Alabama",163461,135010,115092,87146,76283,87178
41,1083,"Limestone County, Alabama",96921,78614,65676,54135,46005,50916
42,1085,"Lowndes County, Alabama",9936,11731,13473,12658,13253,-3317
43,1087,"Macon County, Alabama",18437,21699,24105,24928,26829,-8392
44,1089,"Madison County, Alabama",367686,323080,276700,238912,196966,170720
45,1091,"Marengo County, Alabama",19138,21296,22539,23084,25047,-5909
46,1093,"Marion County, Alabama",29818,30792,31214,29830,30041,-223
47,1095,"Marshall County, Alabama",96137,90867,82231,70832,65622,30515
48,1097,"Mobile County, Alabama",413977,408620,399843,378643,364980,48997
49,1099,"Monroe County, Alabama",21006,23329,24324,23968,22651,-1645
50,1101,"Montgomery County, Alabama",226451,228018,223510,209085,197038,29413
51,1103,"Morgan County, Alabama",119352,117632,111064,100043,90231,29121
52,1105,"Perry County, Alabama",9104,10684,11861,12759,15012,-5908
53,1107,"Pickens County, Alabama",20049,19917,20949,20699,21481,-1432
54,1109,"Pike County, Alabama",33274,32147,29605,27595,28050,5224
55,1111,"Randolph County, Alabama",22732,22817,22380,19881,20075,2657
56,1113,"Russell County, Alabama",57938,51663,49756,46860,47356,10582
57,1115,"St. Clair County, Alabama",88929,80658,64742,50009,41205,47724
58,1117,"Shelby County, Alabama",216350,187880,143293,99358,66298,150052
59,1119,"Sumter County, Alabama",12595,13871,14798,16174,16908,-4313
60,1121,"Talladega County, Alabama",80244,82347,80321,74107,73826,6418
61,1123,"Tallapoosa County, Alabama",40450,41534,41475,38826,38676,1774
62,1125,"Tuscaloosa County, Alabama",208854,188331,164875,150522,137541,71313
63,1127,"Walker County, Alabama",63802,67612,70713,67670,68660,-4858
64,1129,"Washington County, Alabama",16336,17556,18097,16694,16821,-485
65,1131,"Wilcox County, Alabama",10552,12012,13183,13568,14755,-4203
66,1133,"Winston County, Alabama",23712,24687,24843,22053,21953,1759
67,4001,"Apache County, Arizona",71714,70312,69423,61591,52108,19606
68,4003,"Cochise County, Arizona",126442,129268,117755,97624,85686,40756
69,4005,"Coconino County, Arizona",142254,131824,116320,96591,75008,67246
70,4007,"Gila County, Arizona",53846,53272,51335,40216,37080,16766
71,4009,"Graham County, Arizona",38304,36030,33489,26554,22862,15442
72,4011,"Greenlee County, Arizona",9465,8318,8547,8008,11406,-1941
73,4013,"Maricopa County, Arizona",4412779,3751410,3072149,2122101,1509052,2903727
74,4015,"Mohave County, Arizona",210998,199177,155032,93497,55865,155133
75,4017,"Navajo County, Arizona",110271,107060,97470,77658,67629,42642
76,4019,"Pima County, Arizona",1038476,964462,843746,666880,531443,507033
77,4021,"Pinal County, Arizona",447559,329297,179727,116379,90918,356641
78,4023,"Santa Cruz County, Arizona",46594,46051,38381,29676,20459,26135
79,4025,"Yavapai County, Arizona",232396,209260,167517,107714,68145,164251
80,4027,"Yuma County, Arizona",211931,190526,160026,106895,90554,121377
81,5001,"Arkansas County, Arkansas",17761,19321,20749,21653,24175,-6414
82,5003,"Ashley County, Arkansas",20000,22126,24209,24319,26538,-6538
83,5005,"Baxter County, Arkansas",41673,41388,38386,31186,27409,14264
84,5007,"Benton County, Arkansas",273510,209911,153406,97499,78115,195395
85,5009,"Boone County, Arkansas",37525,36710,33948,28297,26067,11458
86,5011,"Bradley County, Arkansas",10805,11638,12600,11793,13803,-2998
87,5013,"Calhoun County, Arkansas",5160,5529,5744,5826,6079,-919
88,5015,"Carroll County, Arkansas",28062,26971,25357,18654,16203,11859
89,5017,"Chicot County, Arkansas",10433,12102,14117,15713,17793,-7360
90,5019,"Clark County, Arkansas",22341,23083,23546,21437,23326,-985
91,5021,"Clay County, Arkansas",14710,16297,17609,18107,20616,-5906
92,5023,"Cleburne County, Arkansas",25063,25692,24046,19411,16909,8154
93,5025,"Cleveland County, Arkansas",8063,8769,8571,7781,7868,195
94,5027,"Columbia County, Arkansas",23620,24756,25603,25691,26644,-3024
95,5029,"Conway County, Arkansas",20895,21059,20336,19151,19505,1390
96,5031,"Craighead County, Arkansas",109081,93329,82148,68956,63239,45842
97,5033,"Crawford County, Arkansas",63118,60778,53247,42493,36892,26226
98,5035,"Crittenden County, Arkansas",48381,50673,50866,49939,49499,-1118
99,5037,"Cross County, Arkansas",16576,18144,19526,19225,20434,-3858
100,5039,"Dallas County, Arkansas",7114,8280,9210,9614,10515,-3401
101,5041,"Desha County, Arkansas",11538,13351,15341,16798,19760,-8222
102,5043,"Drew County, Arkansas",18263,18546,18723,17369,17910,353
103,5045,"Faulkner County, Arkansas",124800,108375,86014,60006,46192,78608
104,5047,"Franklin County, Arkansas",17785,18176,17771,14897,14705,3080
105,5049,"Fulton County, Arkansas",12301,12263,11642,10037,9975,2326
106,5051,"Garland County, Arkansas",99043,95290,88068,73397,70531,28512
107,5053,"Grant County, Arkansas",18229,17657,16464,13948,13008,5221
