Year,State,StateCode,CountyCode,CountyName,TO-WTotl
1995,AL,01,001,Autauga,40.26
1995,AL,01,003,Baldwin,42.14
1995,AL,01,005,Barbour,15.03
1995,AL,01,007,Bibb,3.32
1995,AL,01,009,Blount,51.29
1995,AL,01,011,Bullock,4.84
1995,AL,01,013,Butler,3.73
1995,AL,01,015,Calhoun,26.30
1995,AL,01,017,Chambers,12.56
1995,AL,01,019,Cherokee,6.43
1995,AL,01,021,Chilton,5.64
1995,AL,01,023,Choctaw,52.03
1995,AL,01,025,Clarke,25.98
1995,AL,01,027,Clay,2.65
1995,AL,01,029,Cleburne,2.58
1995,AL,01,031,Coffee,16.25
1995,AL,01,033,Colbert,91.06
1995,AL,01,035,Conecuh,2.21
1995,AL,01,037,Coosa,0.93
1995,AL,01,039,Covington,12.37
1995,AL,01,041,Crenshaw,2.51
1995,AL,01,043,Cullman,20.29
1995,AL,01,045,Dale,13.75
1995,AL,01,047,Dallas,57.16
1995,AL,01,049,De Kalb,9.84
1995,AL,01,051,Elmore,6.29
1995,AL,01,053,Escambia,49.23
1995,AL,01,055,Etowah,264.51
1995,AL,01,057,Fayette,3.06
1995,AL,01,059,Franklin,5.28
1995,AL,01,061,Geneva,3.90
1995,AL,01,063,Greene,320.39
1995,AL,01,065,Hale,39.17
1995,AL,01,067,Henry,9.48
1995,AL,01,069,Houston,120.04
1995,AL,01,071,Jackson,1301.59
1995,AL,01,073,Jefferson,92.12
1995,AL,01,075,Lamar,4.33
1995,AL,01,077,Lauderdale,16.13
1995,AL,01,079,Lawrence,62.14
1995,AL,01,081,Lee,18.89
1995,AL,01,083,Limestone,792.26
1995,AL,01,085,Lowndes,8.53
1995,AL,01,087,Macon,6.79
1995,AL,01,089,Madison,54.01
1995,AL,01,091,Marengo,31.91
1995,AL,01,093,Marion,6.60
1995,AL,01,095,Marshall,22.38
1995,AL,01,097,Mobile,1105.64
1995,AL,01,099,Monroe,63.86
1995,AL,01,101,Montgomery,59.98
1995,AL,01,103,Morgan,140.11
1995,AL,01,105,Perry,8.29
1995,AL,01,107,Pickens,6.19
1995,AL,01,109,Pike,11.83
1995,AL,01,111,Randolph,2.20
1995,AL,01,113,Russell,34.13
1995,AL,01,115,St Clair,8.67
1995,AL,01,117,Shelby,720.03
1995,AL,01,119,Sumter,9.58
1995,AL,01,121,Talladega,77.21
1995,AL,01,123,Tallapoosa,13.07
1995,AL,01,125,Tuscaloosa,37.24
1995,AL,01,127,Walker,906.72
1995,AL,01,129,Washington,86.46
1995,AL,01,131,Wilcox,43.01
1995,AL,01,133,Winston,2.65
1995,AK,02,013,Aleutians E. Borough,3.40
1995,AK,02,016,Aleutians W. Census Area,3.26
1995,AK,02,020,Anchorage Borough,45.21
1995,AK,02,050,Bethel Census Area,0.37
1995,AK,02,060,Bristol Bay Borough,0.08
1995,AK,02,068,Denali Borough,16.69
1995,AK,02,070,Dillingham Census Area,0.30
1995,AK,02,090,Fairbanks N. Star Borough,32.02
1995,AK,02,100,Haines Borough,0.51
1995,AK,02,110,Juneau Borough,4.65
1995,AK,02,122,Kenai Peninsula Borough,9.01
1995,AK,02,130,Ketchikan Gateway Borough,54.11
1995,AK,02,150,Kodiak Is Borough,5.26
1995,AK,02,164,Lake and Peninsula Boroug,0.09
1995,AK,02,170,Matanuska-Susitna Borough,5.66
1995,AK,02,180,Nome Census Area,1.25
1995,AK,02,185,N. Slope Borough,116.04
1995,AK,02,188,NW Arctic Borough,6.37
1995,AK,02,201,Pr. of Wales-Outer Ketchi,1.48
1995,AK,02,220,Sitka Borough,5.12
1995,AK,02,232,Skagway-Hoonah-Angoon Cen,0.39
1995,AK,02,240,SE Fairbanks Census Area,2.66
1995,AK,02,261,Valdez-Cordova Census Are,4.52
1995,AK,02,270,Wade Hampton Census Area,0.21
1995,AK,02,280,Wrangell-Petersburg Censu,1.95
1995,AK,02,282,Yakutat Borough,0.26
1995,AK,02,290,Yukon Koyukuk Census Area,7.65
1995,AZ,04,001,Apache,39.03
1995,AZ,04,003,Cochise,233.96
1995,AZ,04,005,Coconino,47.32
1995,AZ,04,007,Gila,42.88
1995,AZ,04,009,Graham,176.36
1995,AZ,04,011,Greenlee,43.65
1995,AZ,04,012,La Paz,628.59
1995,AZ,04,013,Maricopa,2392.04
1995,AZ,04,015,Mohave,140.32
1995,AZ,04,017,Navajo,63.65
1995,AZ,04,019,Pima,263.76
1995,AZ,04,021,Pinal,1262.17
1995,AZ,04,023,Santa Cruz,15.37
1995,AZ,04,025,Yavapai,82.39
1995,AZ,04,027,Yuma,1398.58
1995,AR,05,001,Arkansas,820.61
1995,AR,05,003,Ashley,134.75
1995,AR,05,005,Baxter,5.53
1995,AR,05,007,Benton,336.29
1995,AR,05,009,Boone,4.60
1995,AR,05,011,Bradley,1.46
1995,AR,05,013,Calhoun,1.09
1995,AR,05,015,Carroll,7.28
1995,AR,05,017,Chicot,233.45
1995,AR,05,019,Clark,5.16
1995,AR,05,021,Clay,176.10
1995,AR,05,023,Cleburne,6.74
1995,AR,05,025,Cleveland,1.30
1995,AR,05,027,Columbia,6.27
1995,AR,05,029,Conway,28.54
1995,AR,05,031,Craighead,349.64
1995,AR,05,033,Crawford,15.89
1995,AR,05,035,Crittenden,112.40
1995,AR,05,037,Cross,299.15
1995,AR,05,039,Dallas,1.18
1995,AR,05,041,Desha,330.34
1995,AR,05,043,Drew,71.00
1995,AR,05,045,Faulkner,11.90
1995,AR,05,047,Franklin,12.56
1995,AR,05,049,Fulton,73.75
